	Series1_NHBE_Mock_1	Series1_NHBE_Mock_2	Series1_NHBE_Mock_3
MIR4439	0	0	0
NYAP2	0	0	0
LOC646736	1	1	3
MIR5702	0	0	0
IRS1	1180	1149	2136
RHBDD1	275	245	429
COL4A4	8	10	20
COL4A3	3	0	15
MFF	522	441	782
TM4SF20	0	0	0
MIR5703	0	0	0
AGFG1	818	860	1812
C2orf83	0	0	0
SLC19A3	2	1	2
CCL20	56	78	109
DAW1	5	3	3
SPHKAP	0	0	0
PID1	50	30	53
DNER	8	13	15
TRIP12	3510	3110	5395
FBXO36	37	38	70
SLC16A14	91	101	249
SP110	741	586	968
SP140	24	27	26
SP140L	483	438	692
SP100	1020	940	1518
CAB39	1873	1843	2986
ITM2C	495	485	760
LOC151484	0	0	0
GPR55	0	0	0
SPATA3	0	0	0
C2orf72	6	3	11
PSMD1	3268	2764	5162
HTR2B	3	0	0
ARMC9	220	186	337
MIR4777	0	0	0
B3GNT7	138	133	196
NCL	15847	13186	23206
SNORA75	3	1	5
SNORD20	0	0	1
SNORD82	0	0	0
LINC00471	3	6	4
NMUR1	0	0	0
PTMA	6443	5773	9203
PDE6D	177	157	267
COPS7B	379	357	571
MIR1471	0	0	0
NPPC	0	0	0
DIS3L2	267	231	359
ALPP	0	0	0
ECEL1P2	0	0	0
ALPI	0	0	0
ECEL1	0	0	0
PRSS56	0	0	0
CHRND	0	0	0
CHRNG	2	1	0
TIGD1	34	50	57
MIR5001	0	0	0
EIF4E2	2561	1930	3303
EFHD1	1	0	4
GIGYF2	1667	1396	2311
KCNJ13	0	0	0
NGEF	10	11	18
NEU2	0	0	0
INPP5D	2213	1913	3132
ATG16L1	581	478	619
SCARNA5	1	1	0
SCARNA6	0	0	1
SAG	0	0	1
DGKD	96	106	141
USP40	688	637	1052
UGT1A8	0	0	0
UGT1A10	0	0	0
UGT1A9	0	0	0
UGT1A7	0	0	0
UGT1A6	111	103	140
UGT1A5	0	0	0
UGT1A4	1	0	0
UGT1A3	0	0	0
DNAJB3	0	0	0
LOC100286922	0	0	0
UGT1A1	2	2	1
HJURP	163	136	242
MSL3P1	96	74	130
TRPM8	0	0	0
SPP2	0	0	0
ARL4C	982	1001	1826
SH3BP4	1636	1663	2669
AGAP1	429	350	599
GBX2	0	0	0
ASB18	0	0	0
IQCA1	364	330	574
COPS8	522	422	818
COL6A3	6	3	1
MLPH	148	152	209
PRLH	0	0	0
RAB17	35	55	68
LRRFIP1	4032	3279	5649
RBM44	0	0	2
RAMP1	3	1	3
UBE2F	142	106	243
UBE2F-SCLY	0	0	0
SCLY	0	0	0
ESPNL	1	0	0
KLHL30	2	1	1
ILKAP	153	123	170
LOC151174	0	0	0
LOC643387	1	6	0
HES6	2	3	21
PER2	126	122	225
TRAF3IP1	667	593	957
ASB1	356	282	538
TWIST2	3	1	10
HDAC4	60	64	92
MIR4440	0	0	0
MIR4441	0	0	0
MGC16025	0	0	0
MIR4269	0	0	0
MIR2467	0	0	0
LOC150935	0	0	0
MIR4786	2	0	1
NDUFA10	939	785	1437
OR6B2	0	0	0
OR6B3	0	0	0
OTOS	0	0	0
GPC1	2126	2629	3263
MIR149	0	0	0
ANKMY1	61	51	58
DUSP28	6	3	6
RNPEPL1	193	214	308
CAPN10	67	87	117
GPR35	1	0	2
AQP12B	0	0	0
AQP12A	0	0	0
KIF1A	0	0	0
AGXT	0	0	0
LOC200772	0	0	0
SNED1	4	8	5
PASK	68	88	105
PPP1R7	1054	1006	1765
ANO7	17	14	19
HDLBP	11935	10047	16721
sep-02	10558	9253	14821
FARP2	219	198	299
STK25	939	794	1209
BOK-AS1	0	1	1
BOK	276	300	351
THAP4	395	385	523
ATG4B	555	518	752
DTYMK	110	109	129
ING5	144	151	239
D2HGDH	65	98	81
GAL3ST2	1	0	0
NEU4	0	0	0
PDCD1	0	0	0
DEFB125	0	0	0
DEFB126	0	0	0
DEFB127	0	0	0
DEFB128	0	0	0
DEFB129	0	0	0
DEFB132	0	0	0
C20orf96	49	56	94
ZCCHC3	109	122	207
SOX12	257	259	361
NRSN2	98	133	143
TRIB3	81	58	92
RBCK1	381	398	568
TBC1D20	684	638	987
CSNK2A1	1776	1581	2976
TCF15	0	0	0
SRXN1	1144	1070	1510
SCRT2	0	0	0
SLC52A3	7	18	17
FAM110A	88	100	182
ANGPT4	0	0	0
RSPO4	0	0	0
PSMF1	1733	1623	2145
TMEM74B	30	31	55
C20orf202	0	0	0
RAD21L1	0	0	0
SNPH	130	125	160
SDCBP2	2	4	5
FKBP1A-SDCBP2	0	0	0
SDCBP2-AS1	25	17	30
FKBP1A	4607	4341	8026
NSFL1C	1308	1186	1866
SIRPB2	82	65	80
SIRPD	0	0	0
SIRPB1	53	65	77
SIRPG	0	0	0
LOC100289473	4	4	2
SIRPA	2550	2559	3256
PDYN	0	0	0
STK35	706	670	1106
TGM3	0	1	0
TGM6	0	0	0
SNRPB	1187	1005	1866
SNORD119	2	1	4
ZNF343	423	375	535
TMC2	0	0	0
NOP56	1504	1253	1943
MIR1292	0	0	0
SNORD110	4	3	6
SNORA51	1	11	1
SNORD86	0	0	0
SNORD56	2	3	7
SNORD57	0	4	4
IDH3B	802	684	1055
EBF4	4	3	2
CPXM1	0	0	0
C20orf141	0	0	0
TMEM239	0	0	0
PCED1A	211	214	277
VPS16	202	195	266
PTPRA	1442	1431	1914
GNRH2	0	0	0
MRPS26	111	91	210
OXT	0	0	0
AVP	0	0	0
UBOX5-AS1	0	0	0
UBOX5	61	56	84
FASTKD5	266	232	425
DDRGK1	1067	1037	1482
ITPA	607	518	872
SLC4A11	393	368	584
C20orf194	452	526	728
ATRN	1786	1770	2944
GFRA4	0	0	0
ADAM33	0	0	0
SIGLEC1	0	0	0
HSPA12B	0	0	0
C20orf27	68	71	93
SPEF1	2	0	0
CENPB	466	468	670
CDC25B	260	262	390
AP5S1	60	45	101
MAVS	2403	2136	3450
PANK2	280	284	553
MIR103A2	0	0	0
MIR103B2	0	0	0
RNF24	163	171	216
SMOX	76	56	96
ADRA1D	1	0	0
PRNP	5298	5468	9464
PRND	0	0	0
PRNT	0	0	0
RASSF2	2	0	0
SLC23A2	267	216	361
TMEM230	764	671	1358
PCNA	865	850	1387
PCNA-AS1	0	1	0
CDS2	995	960	1465
PROKR2	0	0	0
LINC00658	0	0	0
LOC643406	1	0	0
LINC00654	2	3	0
GPCPD1	865	889	1450
CHGB	6	10	10
TRMT6	538	466	780
MCM8	220	177	322
CRLS1	85	84	263
LRRN4	4	0	4
FERMT1	1576	1375	2560
BMP2	131	131	266
HAO1	1	0	0
TMX4	273	238	314
PLCB1	5	4	8
PLCB4	620	489	899
LAMP5	1	0	0
SNAP25-AS1	0	1	0
ANKEF1	269	239	456
SNAP25	0	0	0
MKKS	562	482	879
SLX4IP	64	64	127
JAG1	6233	5318	8626
LOC339593	1	0	1
BTBD3	208	175	296
SPTLC3	185	198	329
ISM1	15	14	24
ISM1-AS1	0	0	0
TASP1	135	98	182
ESF1	510	459	917
NDUFAF5	152	144	183
SEL1L2	0	0	0
MACROD2	10	11	13
FLRT3	558	573	1128
MACROD2-AS1	0	0	0
KIF16B	761	586	982
SNRPB2	609	538	928
OTOR	0	0	0
PCSK2	0	0	0
BFSP1	56	56	105
DSTN	1356	1755	3634
RRBP1	2140	2023	2975
BANF2	0	0	0
SNX5	660	614	1205
SNORD17	37	37	51
MGME1	223	211	394
OVOL2	44	70	69
PET117	5	1	7
ZNF133	283	287	346
LINC00851	0	0	0
DZANK1	73	71	115
POLR3F	112	103	145
MIR3192	0	2	0
RBBP9	319	289	530
SEC23B	1242	1025	1571
DTD1	567	489	771
LINC00652	0	0	0
LOC100270804	15	33	34
C20orf78	0	0	0
SCP2D1	0	0	0
SLC24A3	0	1	3
LOC100130264	0	0	0
RIN2	990	886	1518
NAA20	1057	897	1481
CRNKL1	313	261	489
INSM1	0	0	0
RALGAPA2	728	693	993
XRN2	1560	1354	2463
NKX2-4	0	0	0
NKX2-2	0	0	0
PAX1	0	0	0
LOC284788	0	0	0
LINC00261	0	0	0
FOXA2	34	26	35
SSTR4	0	0	0
THBD	372	453	760
CD93	2	2	3
LINC00656	0	0	0
NXT1	145	117	222
GZF1	146	146	252
NAPB	173	150	253
CSTL1	1	0	0
CST11	0	0	0
CST8	0	0	1
CST13P	0	0	0
CST9L	0	0	0
CST9	0	0	0
CST3	1247	1236	1647
CST4	0	0	0
CST1	0	0	0
CST2	0	0	0
CST5	2	0	0
GGTLC1	0	0	0
SYNDIG1	0	0	0
CST7	0	0	0
APMAP	2171	2013	2981
ACSS1	28	27	27
VSX1	0	0	0
LOC284798	0	0	0
ENTPD6	838	810	1184
PYGB	4785	4196	6474
ABHD12	311	294	404
GINS1	96	52	96
NINL	66	68	98
NANP	63	62	129
ZNF337	875	838	1195
FAM182B	0	3	3
LOC100134868	3	2	0
FAM182A	0	0	0
NCOR1P1	0	0	0
MIR663A	0	0	0
MLLT10P1	0	0	0
DEFB115	0	0	0
DEFB116	0	0	0
DEFB118	0	0	0
DEFB119	0	0	0
DEFB121	0	0	0
DEFB122	0	0	0
DEFB123	0	0	0
DEFB124	0	0	0
REM1	0	0	0
LINC00028	0	0	0
HM13	1800	1828	2902
HM13-AS1	0	0	0
ID1	755	760	1208
MIR3193	0	0	0
COX4I2	0	0	0
BCL2L1	2270	1962	3253
TPX2	576	447	863
MYLK2	0	0	0
FOXS1	0	0	0
DUSP15	0	1	1
TTLL9	0	0	0
PDRG1	237	199	288
XKR7	0	0	0
CCM2L	0	0	0
HCK	0	0	0
TM9SF4	1630	1500	2327
TSPY26P	2	1	0
PLAGL2	446	435	710
POFUT1	942	822	1263
KIF3B	796	737	1251
ASXL1	871	766	1373
C20orf203	1	1	1
COMMD7	354	270	523
DNMT3B	39	29	64
MAPRE1	1337	1076	2086
SUN5	0	0	0
BPIFB2	0	0	0
BPIFB6	0	0	0
BPIFB3	0	0	0
BPIFB4	0	1	0
BPIFA2	5	0	3
BPIFA4P	0	0	0
BPIFA3	0	0	0
BPIFA1	25	23	23
BPIFB1	3	4	1
CDK5RAP1	304	248	426
SNTA1	69	88	103
CBFA2T2	391	385	558
NECAB3	27	38	45
C20orf144	0	0	0
ACTL10	4	4	5
E2F1	36	21	39
PXMP4	219	192	339
ZNF341	59	55	104
CHMP4B	2478	2098	2947
RALY	1250	1139	1712
MIR4755	0	0	0
EIF2S2	2814	2517	4510
ASIP	0	0	0
AHCY	5565	5165	8139
ITCH	1963	1662	2960
MIR644A	0	0	0
DYNLRB1	1256	1225	2040
MAP1LC3A	57	59	73
PIGU	231	275	400
TP53INP2	972	840	1294
NCOA6	1462	1379	2057
HMGB3P1	0	0	0
GGT7	32	36	49
ACSS2	792	684	935
GSS	699	549	993
MYH7B	0	3	0
MIR499A	0	0	0
MIR499B	0	0	0
TRPC4AP	1258	1280	1986
EDEM2	292	224	379
PROCR	409	357	535
MMP24	8	7	2
EIF6	1293	1048	1843
FAM83C	6	4	1
GDF5	2	7	3
CEP250	839	702	1189
C20orf173	0	0	0
ERGIC3	1756	1667	2316
SPAG4	66	63	33
CPNE1	845	865	1357
RBM12	1220	1001	1763
NFS1	553	458	694
ROMO1	636	600	842
RBM39	2679	2530	4097
PHF20	832	660	1077
SCAND1	50	43	72
CNBD2	0	1	2
EPB41L1	704	622	927
AAR2	340	258	497
DLGAP4	1196	1231	1686
MYL9	47	38	47
TGIF2	375	322	572
SLA2	3	4	1
NDRG3	906	908	1392
DSN1	73	63	107
SOGA1	366	338	602
SAMHD1	96	119	217
RBL1	72	77	101
MROH8	9	6	8
RPN2	3312	2854	4289
GHRH	0	0	0
MANBAL	550	425	665
SRC	1440	1344	2048
BLCAP	1177	1235	1772
NNAT	5	2	6
LINC00489	0	0	0
LOC100287792	0	0	0
CTNNBL1	632	515	936
VSTM2L	241	240	314
TTI1	290	308	421
RPRD1B	525	516	863
TGM2	2475	1776	3087
KIAA1755	0	0	2
BPI	0	1	0
LBP	0	0	0
SNORA71B	0	0	1
SNORA71A	2	0	2
SNORA71C	0	1	1
SNORA71D	0	0	0
SNHG11	45	69	43
SNORA60	0	0	16
RALGAPB	1007	1021	1953
ADIG	0	0	0
ARHGAP40	91	83	121
SLC32A1	0	0	0
ACTR5	80	79	109
PPP1R16B	2	1	3
FAM83D	119	117	156
DHX35	132	106	204
MAFB	21	21	20
TOP1	2656	2212	4086
PLCG1	1826	1693	2238
ZHX3	539	402	751
LPIN3	884	1027	1335
EMILIN3	11	17	2
CHD6	1119	922	1592
PTPRT	0	0	0
SRSF6	1219	1132	1890
L3MBTL1	38	83	64
SGK2	3	4	2
IFT52	100	82	186
MYBL2	113	120	144
GTSF1L	0	0	0
TOX2	6	6	7
JPH2	9	15	17
GDAP1L1	0	0	0
FITM2	31	29	42
R3HDML	0	0	0
HNF4A	1	0	0
MIR3646	0	0	0
TTPAL	443	367	752
SERINC3	1108	1193	2255
PKIG	77	74	101
ADA	241	229	317
WISP2	6	3	14
KCNK15	2	0	1
RIMS4	1	0	0
YWHAB	4284	3972	7522
PABPC1L	110	173	174
TOMM34	610	417	781
STK4-AS1	2	6	2
STK4	753	640	1210
KCNS1	7	4	1
WFDC5	5	8	7
WFDC12	0	3	2
PI3	24	37	28
SEMG1	0	0	0
SEMG2	0	0	0
SLPI	1226	1064	1543
MATN4	0	0	3
RBPJL	0	0	0
SDC4	5048	4428	6395
SYS1	294	273	356
SYS1-DBNDD2	0	0	0
TP53TG5	0	0	0
DBNDD2	1	3	2
PIGT	1357	1313	1688
WFDC2	113	74	87
SPINT3	0	0	0
WFDC6	0	0	0
EPPIN-WFDC6	0	0	0
EPPIN	0	0	0
WFDC8	0	0	0
WFDC9	0	0	0
WFDC10A	0	0	0
WFDC11	0	0	0
WFDC10B	1	4	2
WFDC13	0	0	0
SPINT4	0	0	0
WFDC3	9	21	19
DNTTIP1	264	246	436
UBE2C	147	149	211
TNNC2	2	1	1
SNX21	76	104	112
ACOT8	111	107	168
ZSWIM3	51	56	62
ZSWIM1	263	244	236
SPATA25	3	5	1
NEURL2	10	5	14
CTSA	1635	1557	2121
PLTP	440	420	556
PCIF1	166	162	222
ZNF335	273	279	385
MMP9	85	105	117
SLC12A5	1	0	0
NCOA5	439	375	685
CD40	75	80	131
CDH22	0	0	0
SLC35C2	400	422	548
ELMO2	567	556	728
MKRN7P	3	5	1
ZNF334	216	195	346
OCSTAMP	0	0	0
SLC13A3	73	76	74
TP53RK	123	126	259
SLC2A10	167	165	219
EYA2	727	739	1112
MIR3616	0	0	0
ZMYND8	3073	2586	4156
LOC100131496	0	6	0
NCOA3	1352	1372	1985
SULF2	3092	3076	4572
LINC00494	0	0	0
PREX1	2	2	5
ARFGEF2	719	603	1146
CSE1L	748	859	2084
STAU1	2509	2150	3206
DDX27	1695	1524	2248
ZNFX1	1817	1706	2498
ZFAS1	1077	879	1784
SNORD12C	0	0	0
SNORD12B	4	0	0
SNORD12	4	1	7
KCNB1	0	0	0
PTGIS	0	0	0
B4GALT5	1446	1383	2350
SLC9A8	197	191	272
SPATA2	88	119	160
RNF114	445	427	653
SNAI1	0	2	4
UBE2V1	2	3	17
TMEM189-UBE2V1	0	0	0
TMEM189	1782	1674	2372
CEBPB	251	208	399
PTPN1	2006	1837	2970
MIR645	0	0	0
PARD6B	14	38	69
BCAS4	97	105	140
ADNP	1238	1080	1972
DPM1	729	715	1480
MOCS3	136	99	195
KCNG1	27	37	32
NFATC2	8	5	6
MIR3194	0	0	0
ATP9A	957	886	1350
SALL4	11	12	11
ZFP64	589	509	849
TSHZ2	85	76	129
ZNF217	1311	1256	2538
SUMO1P1	0	0	0
BCAS1	164	161	235
MIR4756	0	0	0
CYP24A1	1084	1006	1528
PFDN4	161	242	767
DOK5	0	0	0
CBLN4	0	0	0
MC3R	0	0	0
FAM210B	823	813	1545
AURKA	351	295	422
CSTF1	293	275	594
CASS4	14	7	15
GCNT7	0	0	0
FAM209A	1	2	7
FAM209B	6	7	6
TFAP2C	247	201	305
BMP7	19	17	19
MIR4325	0	0	0
SPO11	0	0	0
RAE1	447	391	600
MTRNR2L3	0	0	0
RBM38	169	200	269
CTCFL	0	0	0
PCK1	0	0	0
ZBP1	0	0	0
PMEPA1	2951	2572	4419
C20orf85	0	0	0
PPP4R1L	72	91	127
RAB22A	541	686	1326
VAPB	1081	989	1949
APCDD1L	24	22	40
STX16	530	606	960
STX16-NPEPL1	4	2	5
NPEPL1	0	0	3
MIR296	2	0	4
MIR298	0	0	0
GNAS-AS1	7	0	13
GNAS	7545	6723	11408
NELFCD	765	588	1049
CTSZ	4511	4093	6056
TUBB1	1	2	0
SLMO2-ATP5E	0	0	0
ZNF831	0	0	0
EDN3	0	0	0
PHACTR3	66	40	82
LOC100506384	0	0	0
SYCP2	2	6	7
FAM217B	123	123	226
PPP1R3D	101	83	127
CDH26	39	44	78
C20orf197	2	6	12
MIR4533	0	0	0
CDH4	45	31	78
MIR1257	0	0	0
TAF4	185	163	282
LSM14B	329	293	463
PSMA7	1160	904	1516
SS18L1	106	120	196
HRH3	0	0	0
OSBPL2	995	909	1324
ADRM1	763	813	1123
LAMA5	2698	3388	4212
MIR4758	0	0	0
RPS21	2749	2371	3319
CABLES2	81	85	121
RBBP8NL	11	8	18
GATA5	0	0	0
MIR1-1	0	0	0
MIR133A2	0	0	0
SLCO4A1	1	1	0
NTSR1	0	0	0
LINC00659	0	0	0
MRGBP	158	196	251
OGFR	389	444	556
COL9A3	1	0	3
TCFL5	84	107	156
DPH3P1	0	3	0
DIDO1	892	785	1179
GID8	1457	1389	2032
SLC17A9	5	4	13
BHLHE23	0	0	0
LINC00029	0	0	0
HAR1B	1	1	0
HAR1A	0	0	0
MIR124-3	0	0	0
YTHDF1	777	676	1146
BIRC7	0	1	2
MIR3196	0	0	0
NKAIN4	3	3	3
FLJ16779	7	18	25
ARFGAP1	575	636	694
MIR4326	0	1	0
COL20A1	1	0	1
CHRNA4	0	0	0
KCNQ2	0	0	0
EEF1A2	14	24	28
PPDPF	1552	1928	2723
PTK6	493	490	659
SRMS	0	0	0
HELZ2	77	142	152
GMEB2	197	191	224
STMN3	21	24	32
RTEL1	1	2	1
RTEL1-TNFRSF6B	0	2	0
TNFRSF6B	1	2	0
ARFRP1	333	295	429
ZGPAT	152	171	300
LIME1	14	22	21
SLC2A4RG	225	284	390
ZBTB46	7	15	11
ABHD16B	2	0	0
TPD52L2	2162	1751	2647
DNAJC5	1638	1468	2361
MIR941-1	0	0	0
MIR941-3	0	0	0
MIR941-4	0	0	0
MIR941-2	0	0	0
UCKL1	272	336	413
MIR1914	0	3	2
MIR647	5	11	3
UCKL1-AS1	2	7	5
ZNF512B	342	389	539
SAMD10	44	41	51
PRPF6	1022	1012	1519
SOX18	0	0	0
TCEA2	35	39	85
RGS19	83	106	164
OPRL1	6	11	19
NPBWR2	0	0	0
MYT1	0	0	0
PCMTD2	176	156	265
LINC00266-1	1	0	1
TEKT4P2	12	18	18
TPTE	0	1	1
BAGE4	0	0	0
BAGE2	0	0	0
BAGE3	0	0	0
BAGE5	0	0	0
BAGE	0	0	0
ANKRD30BP2	0	0	0
MIR3156-3	0	0	0
POTED	0	0	0
ANKRD20A11P	0	0	0
LIPI	0	0	0
RBM11	4	6	6
ABCC13	0	0	0
HSPA13	185	220	313
SAMSN1	0	4	0
SAMSN1-AS1	0	0	0
LOC388813	0	0	0
NRIP1	898	822	1553
USP25	474	507	996
MIR99A	0	0	0
MIRLET7C	0	0	0
MIR125B2	0	0	5
CXADR	263	274	533
BTG3	218	204	401
C21orf91-OT1	0	0	2
C21orf91	187	207	438
CHODL-AS1	0	0	0
CHODL	6	6	8
TMPRSS15	0	0	0
LINC00320	0	0	0
NCAM2	4	9	6
LINC00317	0	0	0
LINC00308	0	0	0
D21S2088E	0	0	0
LINC00158	1	0	0
MIR155HG	0	0	0
MIR155	0	0	0
LINC00515	1	0	0
MRPL39	395	392	591
JAM2	0	1	3
GABPA	516	401	799
APP	24000	20969	33875
CYYR1	16	3	28
ADAMTS1	2448	2120	3816
ADAMTS5	1	0	0
MIR4759	0	0	0
MIR5009	0	0	0
LINC00113	12	25	33
LINC00314	0	0	0
LINC00161	0	0	0
N6AMT1	48	48	66
LTN1	281	353	786
RWDD2B	254	180	478
USP16	364	348	919
CCT8	2027	1842	3674
LINC00189	0	0	0
BACH1	354	299	645
GRIK1	0	0	0
GRIK1-AS2	1	3	0
GRIK1-AS1	0	0	0
CLDN17	0	0	0
LINC00307	0	0	0
CLDN8	21	15	3
KRTAP24-1	0	0	0
KRTAP25-1	0	0	0
KRTAP26-1	0	0	0
KRTAP27-1	0	0	0
KRTAP23-1	0	0	0
KRTAP13-2	0	0	0
MIR4327	0	0	0
KRTAP13-1	0	0	0
KRTAP13-3	0	0	0
KRTAP13-4	0	0	0
KRTAP15-1	0	0	0
KRTAP19-1	0	0	0
KRTAP19-2	0	0	0
KRTAP19-3	0	0	0
KRTAP19-4	0	0	0
KRTAP19-5	0	0	0
KRTAP19-6	0	0	0
KRTAP19-7	0	0	0
KRTAP22-2	0	0	0
KRTAP6-3	0	0	0
KRTAP6-2	0	0	0
KRTAP22-1	0	0	0
KRTAP6-1	0	0	0
KRTAP20-1	0	0	0
KRTAP20-4	0	0	0
KRTAP20-2	0	0	0
KRTAP20-3	0	0	0
KRTAP21-3	0	0	0
KRTAP21-2	0	0	0
KRTAP21-1	0	0	0
KRTAP8-1	0	0	0
KRTAP7-1	0	1	0
KRTAP11-1	0	0	0
KRTAP19-8	0	0	0
TIAM1	132	121	230
SOD1	2699	2385	3426
SCAF4	716	605	916
HUNK	0	0	0
LINC00159	0	0	0
MIS18A	103	97	163
MRAP	2	3	0
URB1	796	703	1185
EVA1C	52	44	55
TCP10L	7	5	6
SYNJ1	184	180	274
PAXBP1-AS1	2	3	17
PAXBP1	264	305	600
C21orf62	0	0	0
OLIG2	0	0	0
OLIG1	0	0	0
IFNAR2	149	127	263
IL10RB	213	212	297
IFNAR1	579	639	874
IFNGR2	889	705	1139
TMEM50B	354	297	533
DNAJC28	16	18	32
GART	1674	1370	2696
SON	3876	3752	5890
DONSON	83	86	169
CRYZL1	109	85	179
ITSN1	1110	910	1553
LINC00649	44	57	82
MRPS6	180	178	300
SLC5A3	170	165	296
LINC00310	1	0	0
KCNE2	0	0	0
KCNE1	0	0	5
RCAN1	413	283	502
CLIC6	5	6	3
LINC00160	8	6	10
RUNX1	773	776	1372
RUNX1-IT1	0	1	3
LOC100506403	1	0	0
MIR802	0	0	0
SETD4	99	150	190
LOC100133286	6	20	4
CBR1	1091	1069	1753
CBR3-AS1	14	14	17
CBR3	19	25	23
MORC3	868	857	1506
CHAF1B	125	102	129
CLDN14	2	2	1
SIM2	9	9	18
HLCS	260	274	434
PIGP	45	76	106
TTC3	2601	2311	4425
DSCR9	0	0	0
DYRK1A	605	557	974
KCNJ6	0	3	0
DSCR4	0	0	0
DSCR8	0	0	0
DSCR10	0	0	0
KCNJ15	627	469	695
ERG	17	17	21
LINC00114	0	0	0
ETS2	2076	2169	3377
PSMG1	164	144	324
BRWD1	538	594	1349
BRWD1-AS1	0	0	0
HMGN1	6785	5654	8044
WRB	94	87	161
LCA5L	3	3	16
SH3BGR	59	67	98
B3GALT5	0	1	0
IGSF5	0	0	0
PCP4	0	0	0
DSCAM	11	9	23
MIR4760	0	0	0
DSCAM-AS1	0	0	0
DSCAM-IT1	0	0	0
LINC00323	1	0	0
MIR3197	0	0	0
BACE2	1061	985	1513
PLAC4	1	0	3
FAM3B	3	0	0
MX2	10	32	18
MX1	93	149	114
TMPRSS2	238	172	226
LINC00111	0	0	0
LINC00479	3	8	10
LINC00112	0	0	0
RIPK4	649	688	1005
PRDM15	207	193	279
C2CD2	310	271	355
ZBTB21	271	295	511
ZNF295-AS1	0	0	0
UMODL1	3	0	0
ABCG1	234	238	354
TFF3	12	11	33
TFF2	0	0	0
TFF1	0	0	0
TMPRSS3	1	0	3
UBASH3A	0	0	0
RSPH1	34	35	51
SLC37A1	228	288	337
PDE9A	33	43	47
WDR4	84	69	122
NDUFV3	563	445	679
PKNOX1	175	156	324
CBS	58	73	99
U2AF1	751	640	1172
CRYAA	0	0	0
SIK1	1335	1562	2096
LINC00319	14	16	4
LINC00313	17	9	24
HSF2BP	176	158	241
RRP1B	856	755	1309
PDXK	1854	1719	2651
CSTB	9254	7752	9556
RRP1	242	243	371
AGPAT3	1033	949	1492
TRAPPC10	904	729	1200
PWP2	413	337	583
ICOSLG	38	32	31
DNMT3L	0	0	0
AIRE	0	0	0
PFKL	1003	1038	1575
TRPM2	4	0	3
LRRC3	38	23	49
TSPEAR	1	0	0
KRTAP10-1	0	0	0
KRTAP10-2	0	0	0
KRTAP10-3	0	0	0
KRTAP10-4	0	0	0
KRTAP10-5	0	0	0
KRTAP10-6	0	0	0
KRTAP10-7	0	0	0
KRTAP10-8	0	0	0
KRTAP10-9	0	0	0
KRTAP10-10	0	0	0
KRTAP10-11	0	0	0
KRTAP12-4	0	0	0
KRTAP12-3	0	0	0
KRTAP12-2	0	0	0
KRTAP12-1	0	0	0
KRTAP10-12	0	0	0
UBE2G2	1384	1233	2025
SUMO3	1322	1098	2112
PTTG1IP	3530	3139	4272
ITGB2	8	2	10
ITGB2-AS1	4	3	7
FAM207A	97	97	127
LINC00163	0	0	0
SSR4P1	3	3	10
ADARB1	200	157	277
POFUT2	510	468	645
LOC642852	286	271	371
COL18A1	213	294	294
COL18A1-AS2	0	0	0
COL18A1-AS1	0	0	0
SLC19A1	62	57	91
LOC100129027	0	0	0
PCBP3	5	3	1
COL6A1	141	158	205
COL6A2	5	3	14
FTCD	0	1	0
SPATC1L	43	34	87
LSS	1711	1622	2516
MCM3AP-AS1	22	29	30
MCM3AP	831	714	1216
YBEY	159	140	196
C21orf58	25	27	38
PCNT	405	323	579
DIP2A	534	528	889
DIP2A-IT1	0	0	1
S100B	0	0	0
PRMT2	1184	1154	1862
POTEH	0	0	0
OR11H1	0	0	0
CCT8L2	0	0	0
TPTEP1	343	344	441
ANKRD62P1-PARP4P3	0	0	0
XKR3	0	0	0
HSFY1P1	0	0	0
GAB4	0	0	0
CECR7	19	29	25
IL17RA	434	436	682
CECR3	0	0	0
CECR2	0	0	0
SLC25A18	1	0	0
ATP6V1E1	1178	1058	2154
BCL2L13	943	787	1404
BID	247	217	362
MIR3198-1	0	0	0
MICAL3	1053	1053	1662
MIR648	0	1	0
PEX26	409	392	613
TUBA8	4	16	14
USP18	30	30	26
GGT3P	0	0	0
DGCR6	13	11	15
PRODH	23	43	52
DGCR5	25	23	38
DGCR9	0	2	0
DGCR10	0	0	0
DGCR2	1066	1086	1604
DGCR11	35	43	82
TSSK2	0	0	0
GSC2	0	0	0
SLC25A1	826	905	1309
CLTCL1	318	327	506
HIRA	466	429	566
MRPL40	622	535	763
C22orf39	103	94	182
CDC45	74	51	77
CLDN5	0	0	0
sep-05	0	0	0
SEPT5-GP1BB	16	30	13
GP1BB	0	0	0
TBX1	173	179	247
GNB1L	7	5	17
TXNRD2	106	78	113
COMT	753	720	1069
MIR4761	0	0	0
ARVCF	54	58	88
TANGO2	266	264	438
MIR185	0	0	0
DGCR8	367	389	600
MIR3618	0	0	0
MIR1306	0	0	0
TRMT2A	333	367	444
RANBP1	1543	1250	2053
ZDHHC8	232	310	395
LOC284865	0	0	0
RTN4R	22	27	26
MIR1286	0	0	0
DGCR6L	76	77	96
TMEM191B	1	0	0
PI4KAP1	13	15	27
RIMBP3	0	0	1
ZNF74	73	85	156
SCARF2	8	1	2
KLHL22	200	174	226
MED15	1275	1304	1796
POM121L4P	0	0	0
TMEM191A	10	11	15
PI4KA	512	477	700
SERPIND1	2	0	9
SNAP29	772	660	1080
