	Series1_NHBE_SARS-CoV-2_1	Series1_NHBE_SARS-CoV-2_2	Series1_NHBE_SARS-CoV-2_3
PKP4	1435	1674	4529
DAPL1	2	2	0
TANC1	884	822	2615
WDSUB1	37	36	92
BAZ2B	790	834	2427
MARCH7	1185	1155	2941
LY75-CD302	0	0	0
CD302	0	0	0
LY75	5	4	16
PLA2R1	144	156	410
ITGB6	3311	3488	9285
RBMS1	812	786	2608
MIR4785	0	0	0
TANK	684	754	2320
PSMD14	895	749	2315
TBR1	1	2	0
AHCTF1P1	7	14	26
SLC4A10	0	0	0
DPP4	26	27	92
GCG	0	0	0
FAP	121	113	335
IFIH1	262	285	778
GCA	19	40	94
KCNH7	0	0	0
FIGN	45	76	135
GRB14	33	43	116
COBLL1	663	780	2123
SNORA70F	0	0	0
SLC38A11	0	0	0
SCN3A	0	0	0
SCN2A	21	32	48
CSRNP3	15	23	49
GALNT3	1098	1236	3294
LOC100506124	8	6	15
TTC21B	56	65	211
SCN1A	0	0	0
SCN9A	5	11	30
SCN7A	0	0	0
XIRP2	0	1	0
B3GALT1	0	0	0
STK39	530	529	1621
CERS6	550	509	1438
MIR4774	0	0	0
CERS6-AS1	5	0	28
NOSTRIN	41	42	125
SPC25	15	13	37
G6PC2	0	0	0
ABCB11	11	17	23
DHRS9	305	340	894
LRP2	0	0	0
BBS5	40	23	92
KLHL41	0	2	0
FASTKD1	197	239	617
PPIG	1727	1958	5188
CCDC173	0	1	0
PHOSPHO2	1	3	3
PHOSPHO2-KLHL23	0	0	0
KLHL23	0	1	0
SSB	2242	2373	6396
METTL5	190	182	617
UBR3	303	341	878
MYO3B	38	30	176
SP5	0	0	0
GAD1	12	12	44
GORASP2	2879	2708	7883
TLK1	708	741	2058
METTL8	365	367	955
DCAF17	194	195	611
CYBRD1	414	510	1252
DYNC1I2	2521	2962	7875
SLC25A12	266	285	807
HAT1	248	214	622
METAP1D	32	23	97
DLX1	1	0	8
DLX2	1	2	2
ITGA6	10117	10724	30477
PDK1	249	220	585
RAPGEF4-AS1	0	1	0
RAPGEF4	25	14	50
CDCA7	56	59	154
SP3	527	657	1629
OLA1	1311	1326	4037
SP9	0	0	0
CIR1	891	941	2569
SCRN3	305	294	843
GPR155	123	145	418
WIPF1	70	98	208
CHRNA1	3	3	23
CHN1	15	10	29
ATF2	332	326	1002
MIR933	0	0	0
EVX2	0	0	0
HOXD13	0	0	0
HOXD12	0	0	0
HOXD11	0	0	0
HOXD10	0	0	0
HOXD9	0	0	0
HOXD8	1	0	0
HOXD-AS2	0	0	0
MIR10B	0	0	0
HOXD4	0	0	0
HOXD3	0	0	0
HOXD1	0	2	0
MTX2	472	489	1441
MIR1246	0	0	0
HNRNPA3	3091	3921	10859
MIR4444-1	0	0	0
NFE2L2	1816	1910	5057
MIR3128	0	0	0
LOC100130691	9	16	78
AGPS	549	538	1562
TTC30B	36	20	48
TTC30A	44	42	136
PDE11A	1	2	0
RBM45	53	32	135
OSBPL6	57	77	199
MIR548N	0	0	0
PRKRA	216	206	614
FKBP7	24	17	50
PLEKHA3	69	72	251
TTN-AS1	55	62	205
TTN	5	6	16
CCDC141	0	0	0
SESTD1	506	550	1623
ZNF385B	1	2	0
MIR1258	0	0	0
CWC22	472	527	1350
UBE2E3	390	373	1247
MIR4437	0	0	0
ITGA4	61	46	157
CERKL	0	0	0
NEUROD1	0	0	0
PPP1R1C	98	90	252
PDE1A	2	4	0
DNAJC10	1104	1093	3018
FRZB	1	1	9
NCKAP1	1327	1243	3630
DUSP19	1	9	17
NUP35	60	70	241
ZNF804A	0	1	2
FSIP2	19	10	71
ZC3H15	1497	1463	4253
ITGAV	2945	2964	7434
FAM171B	55	70	216
ZSWIM2	0	0	0
CALCRL	10	7	23
TFPI	107	140	319
GULP1	88	87	228
MIR561	1	0	0
DIRC1	0	0	0
COL3A1	3	0	0
MIR1245A	0	0	0
MIR1245B	0	0	0
MIR3606	0	0	0
COL5A2	1382	1268	3482
MIR3129	0	0	0
WDR75	437	463	1299
SLC40A1	16	15	75
ASNSD1	316	322	803
ANKAR	4	6	8
OSGEPL1	64	59	153
ORMDL1	311	277	840
PMS1	111	124	353
MSTN	0	0	0
C2orf88	0	0	1
HIBCH	155	192	517
INPP1	280	322	826
MFSD6	675	751	1868
NAB1	233	283	778
GLS	479	491	1569
STAT1	1395	1568	4609
STAT4	165	196	551
MYO1B	8864	9865	26352
NABP1	935	1063	3122
TMEFF2	0	0	0
PCGEM1	0	0	0
SLC39A10	250	262	733
DNAH7	1	4	3
STK17B	154	196	488
HECW2	5	8	21
CCDC150	12	23	59
LOC100130452	0	0	0
GTF3C3	496	513	1391
C2orf66	19	15	50
PGAP1	97	101	265
ANKRD44	18	14	47
SF3B1	3016	3352	9139
COQ10B	191	178	469
HSPD1	2150	2391	7359
HSPE1-MOB4	0	0	0
HSPE1	13	24	95
MOB4	2	5	5
RFTN2	0	0	0
MARS2	56	42	181
BOLL	0	0	0
PLCL1	1	1	3
SATB2	59	73	219
SATB2-AS1	0	0	0
C2orf69	28	34	127
TYW5	122	133	492
SPATS2L	2690	2697	8029
KCTD18	311	394	962
AOX1	251	294	877
BZW1	3223	3608	10635
CLK1	603	664	1637
PPIL3	213	211	501
NIF3L1	300	263	696
ORC2	371	407	1197
FAM126B	146	180	478
NDUFB3	648	828	2778
CFLAR	2689	2985	8568
CFLAR-AS1	13	6	11
CASP10	110	115	391
CASP8	391	474	1298
ALS2CR12	2	3	8
TRAK2	521	582	1517
STRADB	101	115	372
TMEM237	348	412	1094
MPP4	2	0	3
ALS2	667	733	2200
CDK15	0	0	2
FZD7	19	25	62
SUMO1	3302	3958	9510
NOP58	1500	1639	4201
SNORD70	0	0	0
SNORD11B	0	0	0
SNORD11	2	3	5
BMPR2	1042	1074	2998
FAM117B	96	80	184
ICA1L	30	22	49
WDR12	385	380	1240
NBEAL1	248	190	600
CYP20A1	112	124	343
ABI2	227	292	809
RAPH1	248	267	766
CD28	0	0	6
CTLA4	0	0	0
ICOS	0	1	0
PARD3B	50	76	186
NRP2	438	499	1380
INO80D	190	178	608
GCSHP3	31	16	66
NDUFS1	1207	1441	4273
EEF1B2	4370	4787	15424
SNORD51	0	0	0
SNORA41	5	1	15
GPR1	21	12	40
ZDBF2	115	103	346
ADAM23	27	31	77
DYTN	0	0	0
MDH1B	5	16	15
FASTKD2	297	254	842
MIR3130-2	0	0	0
MIR3130-1	0	0	0
CPO	0	0	2
KLF7	2121	2492	7028
MIR2355	0	0	0
CREB1	673	724	2189
METTL21A	51	40	153
CCNYL1	348	307	1087
MIR4775	0	0	0
FZD5	178	178	481
PLEKHM3	157	168	465
LOC100507443	0	0	0
CRYGD	0	0	0
CRYGC	0	0	0
CRYGB	0	0	0
CRYGA	0	0	2
C2orf80	0	1	0
IDH1	1641	1765	5133
IDH1-AS1	13	10	13
PIKFYVE	414	501	1403
PTH2R	0	0	0
MAP2	785	844	2449
UNC80	8	15	38
RPE	383	334	1131
KANSL1L	38	46	104
ACADL	2	8	15
MYL1	0	0	0
LANCL1	331	379	986
CPS1	320	329	1031
CPS1-IT1	0	0	0
ERBB4	3	3	2
MIR548F2	0	0	0
MIR4776-2	0	0	0
MIR4776-1	0	0	0
IKZF2	329	325	932
LOC100130451	0	0	0
SPAG16	60	51	175
VWC2L	0	0	0
VWC2L-IT1	0	0	0
BARD1	19	19	44
ABCA12	590	614	1855
ATIC	1030	1121	3526
FN1	109630	110055	319276
LINC00607	5	0	4
MREG	157	154	459
PECR	43	43	153
TMEM169	2	3	8
XRCC5	3644	3919	11744
MARCH4	64	74	276
SMARCAL1	278	288	772
RPL37A	7718	9285	31009
IGFBP2	1344	1088	3212
IGFBP5	0	0	4
TNP1	0	0	0
DIRC3	1	3	0
TNS1	182	148	399
RUFY4	0	0	0
CXCR2P1	0	0	0
CXCR2	6	7	29
CXCR1	1	0	2
ARPC2	7031	6787	20896
GPBAR1	0	0	2
AAMP	1142	946	2786
PNKD	339	266	858
TMBIM1	13277	12847	37461
SLC11A1	1	2	5
CTDSP1	520	395	1276
MIR26B	0	0	0
VIL1	0	0	0
USP37	51	78	185
PLCD4	54	91	241
ZNF142	413	348	1163
BCS1L	264	279	765
RNF25	299	306	899
STK36	263	208	742
TTLL4	244	268	802
CYP27A1	6	4	22
PRKAG3	0	0	3
WNT6	0	0	0
WNT10A	106	95	231
CDK5R2	6	9	29
LINC00608	0	0	0
FEV	0	0	0
CRYBA2	0	0	2
MIR375	0	0	0
LOC100129175	0	0	0
IHH	0	0	1
MIR3131	0	0	0
NHEJ1	76	84	263
SLC23A3	26	17	93
CNPPD1	568	515	1427
ZFAND2B	162	130	407
ABCB6	273	255	695
ATG9A	939	791	2355
ANKZF1	1151	1230	3455
GLB1L	53	62	174
STK16	219	223	727
TUBA4A	6578	5928	19963
TUBA4B	2	2	4
DNAJB2	1580	1412	4028
PTPRN	1	0	0
MIR153-1	0	0	0
RESP18	0	0	0
DNPEP	270	238	644
DES	0	0	0
SPEG	266	178	645
GMPPA	352	310	889
ASIC4	1	0	0
CHPF	1531	934	2813
TMEM198	8	12	38
MIR3132	0	0	0
OBSL1	135	100	264
INHA	10	4	22
STK11IP	205	170	495
SLC4A3	316	176	592
MIR4268	0	0	0
EPHA4	82	94	257
PAX3	1	0	0
CCDC140	0	2	0
SGPP2	83	103	240
FARSB	309	309	1143
MOGAT1	0	0	0
ACSL3	2997	3583	9919
KCNE4	0	2	0
SCG2	8	15	31
AP1S3	730	673	2117
WDFY1	975	1043	3132
MRPL44	384	404	1119
SERPINE2	1614	1724	4733
FAM124B	0	1	0
CUL3	693	724	1960
DOCK10	12	9	28
MIR4439	0	0	0
NYAP2	1	0	1
LOC646736	0	0	0
MIR5702	0	0	0
IRS1	1040	847	2848
RHBDD1	196	207	738
COL4A4	5	5	28
COL4A3	3	2	2
MFF	395	402	1214
TM4SF20	0	0	0
MIR5703	0	0	0
AGFG1	798	793	2350
C2orf83	0	0	0
SLC19A3	1	4	2
CCL20	612	534	1446
DAW1	4	6	12
SPHKAP	0	0	0
PID1	49	41	199
DNER	15	15	30
TRIP12	2981	3227	8793
FBXO36	45	27	90
SLC16A14	70	69	234
SP110	527	621	2018
SP140	12	10	59
SP140L	398	435	1280
SP100	1001	1066	3066
CAB39	1667	1723	4946
ITM2C	462	430	1286
LOC151484	0	0	0
GPR55	0	1	0
SPATA3	0	0	0
C2orf72	7	7	8
PSMD1	2919	3239	9132
HTR2B	0	0	0
ARMC9	249	205	675
MIR4777	0	0	0
B3GNT7	135	124	369
NCL	13790	15248	43102
SNORA75	4	7	4
SNORD20	0	0	3
SNORD82	0	0	0
LINC00471	3	2	17
NMUR1	0	0	0
PTMA	7127	6004	17752
PDE6D	161	132	435
COPS7B	402	318	1025
MIR1471	0	0	0
NPPC	0	0	0
DIS3L2	240	290	751
ALPP	0	0	0
ECEL1P2	0	0	0
ALPI	0	0	0
ECEL1	0	0	0
PRSS56	0	0	0
CHRND	0	0	0
CHRNG	0	0	0
TIGD1	25	26	94
MIR5001	0	0	0
EIF4E2	1737	2096	6305
EFHD1	1	0	2
GIGYF2	1252	1359	4102
KCNJ13	0	0	0
NGEF	8	6	8
NEU2	0	0	0
INPP5D	1801	1672	4611
ATG16L1	458	498	1489
SCARNA5	0	0	1
SCARNA6	0	0	4
SAG	0	0	0
DGKD	126	87	308
USP40	608	570	1502
UGT1A8	0	0	0
UGT1A10	1	0	0
UGT1A9	0	0	0
UGT1A7	0	0	0
UGT1A6	66	81	297
UGT1A5	0	0	0
UGT1A4	0	0	0
UGT1A3	0	0	1
DNAJB3	0	0	0
LOC100286922	0	0	2
UGT1A1	0	4	10
HJURP	123	105	372
MSL3P1	69	71	224
TRPM8	0	1	0
SPP2	0	0	0
ARL4C	867	671	2345
SH3BP4	1532	1387	4025
AGAP1	388	319	997
GBX2	0	0	1
ASB18	0	0	0
IQCA1	328	323	914
COPS8	394	416	1318
COL6A3	4	0	0
MLPH	98	109	217
PRLH	0	0	0
RAB17	48	49	110
LRRFIP1	3080	3234	10407
RBM44	1	5	3
RAMP1	2	0	4
UBE2F	107	103	385
UBE2F-SCLY	0	0	0
SCLY	0	0	0
ESPNL	0	0	1
KLHL30	1	3	0
ILKAP	109	158	371
LOC151174	0	0	3
LOC643387	0	0	2
HES6	3	3	11
PER2	120	107	346
TRAF3IP1	517	577	1694
ASB1	404	331	984
TWIST2	6	3	14
HDAC4	77	66	194
MIR4440	0	0	2
MIR4441	0	0	0
MGC16025	0	0	1
MIR4269	0	0	0
MIR2467	0	0	0
LOC150935	0	0	0
MIR4786	0	0	0
NDUFA10	833	792	2499
OR6B2	0	0	0
OR6B3	0	0	0
OTOS	0	0	0
GPC1	2832	1407	4454
MIR149	0	0	0
ANKMY1	26	27	77
DUSP28	7	6	11
RNPEPL1	215	133	437
CAPN10	133	55	215
GPR35	3	2	3
AQP12B	0	0	0
AQP12A	0	0	0
KIF1A	1	1	3
AGXT	0	0	0
LOC200772	0	0	0
SNED1	0	1	5
PASK	76	72	171
PPP1R7	865	915	2822
ANO7	17	6	47
HDLBP	9929	10171	30181
sep-02	7786	8798	24722
FARP2	237	223	576
STK25	1223	945	2714
BOK-AS1	0	0	0
BOK	332	231	928
THAP4	433	330	961
ATG4B	580	578	1489
DTYMK	108	83	251
ING5	165	192	482
D2HGDH	90	41	176
GAL3ST2	0	0	0
NEU4	0	0	0
PDCD1	0	0	0
DEFB125	0	0	0
DEFB126	0	0	0
DEFB127	0	0	0
DEFB128	0	0	0
DEFB129	0	0	0
DEFB132	0	0	0
C20orf96	35	40	106
ZCCHC3	137	115	283
SOX12	235	206	526
NRSN2	120	101	342
TRIB3	90	59	236
RBCK1	490	303	960
TBC1D20	632	573	1842
CSNK2A1	1498	1592	4799
TCF15	1	0	0
SRXN1	946	971	2915
SCRT2	0	0	0
SLC52A3	11	19	57
FAM110A	98	82	279
ANGPT4	0	0	0
RSPO4	1	0	11
PSMF1	1725	1526	4818
TMEM74B	28	32	124
C20orf202	0	0	0
RAD21L1	0	0	0
SNPH	126	90	281
SDCBP2	2	3	3
FKBP1A-SDCBP2	0	0	0
SDCBP2-AS1	13	9	27
FKBP1A	3711	3576	11962
NSFL1C	1305	1259	3884
SIRPB2	74	62	222
SIRPD	0	0	0
SIRPB1	61	61	220
SIRPG	0	0	0
LOC100289473	4	2	11
SIRPA	2207	2245	6032
PDYN	0	0	0
STK35	632	613	1811
TGM3	0	0	3
TGM6	0	0	0
SNRPB	1114	931	2947
SNORD119	1	1	0
ZNF343	370	385	1113
TMC2	0	0	0
NOP56	1314	1451	4339
MIR1292	0	0	0
SNORD110	3	3	4
SNORA51	4	13	34
SNORD86	0	0	0
SNORD56	4	5	0
SNORD57	0	0	2
IDH3B	791	769	2271
EBF4	2	5	6
CPXM1	0	0	0
C20orf141	0	0	0
TMEM239	0	0	0
PCED1A	179	167	498
VPS16	179	146	507
PTPRA	1160	1289	3416
GNRH2	0	0	0
MRPS26	130	106	344
OXT	0	0	0
AVP	0	0	0
UBOX5-AS1	0	0	0
UBOX5	56	51	156
FASTKD5	203	271	752
DDRGK1	1115	957	2851
ITPA	501	527	1543
SLC4A11	474	395	1177
C20orf194	423	463	1450
ATRN	1499	1556	4241
GFRA4	0	0	0
ADAM33	0	0	0
SIGLEC1	0	0	0
HSPA12B	0	0	0
C20orf27	87	56	156
SPEF1	0	0	0
CENPB	493	450	1327
CDC25B	342	291	976
AP5S1	44	53	148
MAVS	2112	2090	5977
PANK2	213	246	711
MIR103A2	2	1	0
MIR103B2	0	0	0
RNF24	147	143	508
SMOX	95	72	259
ADRA1D	0	0	0
PRNP	5128	5166	14422
PRND	0	0	2
PRNT	0	0	0
RASSF2	1	0	0
SLC23A2	207	254	625
TMEM230	621	638	2011
PCNA	710	717	1713
PCNA-AS1	4	4	5
CDS2	837	859	2467
PROKR2	0	0	0
LINC00658	0	0	0
LOC643406	0	0	0
LINC00654	1	3	6
GPCPD1	662	758	1940
CHGB	10	10	32
TRMT6	458	483	1571
MCM8	178	136	520
CRLS1	75	85	220
LRRN4	3	3	16
FERMT1	1625	1583	5596
BMP2	229	217	677
HAO1	0	0	0
TMX4	194	208	535
PLCB1	1	5	8
PLCB4	381	437	1306
LAMP5	0	0	0
SNAP25-AS1	0	0	0
ANKEF1	240	219	736
SNAP25	0	0	0
MKKS	528	529	1599
SLX4IP	35	49	141
JAG1	5537	5846	17578
LOC339593	0	0	0
BTBD3	146	132	472
SPTLC3	113	114	354
ISM1	9	16	37
ISM1-AS1	0	0	0
TASP1	90	107	368
ESF1	415	479	1279
NDUFAF5	131	141	327
SEL1L2	0	0	0
MACROD2	12	15	24
FLRT3	397	418	1179
MACROD2-AS1	0	0	0
KIF16B	546	602	1618
SNRPB2	533	537	1459
OTOR	0	0	0
PCSK2	0	0	0
BFSP1	48	54	129
DSTN	1771	1466	3970
RRBP1	2281	1994	6273
BANF2	0	0	0
SNX5	609	616	1791
SNORD17	46	55	116
MGME1	160	186	483
OVOL2	41	47	133
PET117	4	0	1
ZNF133	236	230	763
LINC00851	0	0	0
DZANK1	61	59	207
POLR3F	111	75	248
MIR3192	1	0	0
RBBP9	283	238	723
SEC23B	1057	1079	3430
DTD1	489	531	1507
LINC00652	0	0	4
LOC100270804	13	21	30
C20orf78	0	0	0
SCP2D1	0	0	0
SLC24A3	0	1	1
LOC100130264	0	0	0
RIN2	817	852	2232
NAA20	942	934	2686
CRNKL1	198	214	669
INSM1	0	0	0
RALGAPA2	629	637	1902
XRN2	1404	1396	4160
NKX2-4	0	0	0
NKX2-2	0	0	0
PAX1	2	0	3
LOC284788	0	0	0
LINC00261	1	0	0
FOXA2	30	13	65
SSTR4	0	0	0
THBD	227	182	569
CD93	0	0	4
LINC00656	0	0	0
NXT1	140	132	439
GZF1	120	122	376
NAPB	128	131	455
CSTL1	0	0	5
CST11	0	0	0
CST8	0	1	0
CST13P	0	0	0
CST9L	0	0	0
CST9	0	0	0
CST3	1159	1024	3263
CST4	0	0	0
CST1	0	0	0
CST2	0	0	4
CST5	0	0	0
GGTLC1	0	0	0
SYNDIG1	0	0	0
CST7	0	0	0
APMAP	1655	1973	5261
ACSS1	15	11	39
VSX1	0	0	0
LOC284798	0	0	0
ENTPD6	925	709	2266
PYGB	4907	3726	12274
ABHD12	296	212	697
GINS1	63	72	267
NINL	49	53	160
NANP	71	68	203
ZNF337	705	801	2336
FAM182B	3	0	0
LOC100134868	0	0	10
FAM182A	0	0	0
NCOR1P1	0	0	0
MIR663A	0	0	0
MLLT10P1	0	0	1
DEFB115	0	0	0
DEFB116	0	0	0
DEFB118	0	0	0
DEFB119	0	0	0
DEFB121	0	0	0
DEFB122	0	0	0
DEFB123	0	0	0
DEFB124	0	0	0
REM1	0	0	0
LINC00028	0	0	0
HM13	1973	1770	5628
HM13-AS1	1	0	0
ID1	1017	782	1987
MIR3193	0	0	0
COX4I2	0	0	0
BCL2L1	2262	1973	6229
TPX2	438	490	1403
MYLK2	1	1	7
FOXS1	0	0	0
DUSP15	0	0	0
TTLL9	0	0	0
PDRG1	178	150	438
XKR7	0	1	0
CCM2L	0	0	0
HCK	0	0	0
TM9SF4	1522	1457	4314
TSPY26P	0	0	1
PLAGL2	470	445	1345
POFUT1	789	792	2270
KIF3B	673	756	2101
ASXL1	814	776	2441
C20orf203	0	0	0
COMMD7	254	277	915
DNMT3B	25	47	113
MAPRE1	1213	1225	3614
SUN5	0	0	0
BPIFB2	0	0	0
BPIFB6	0	0	0
BPIFB3	0	0	0
BPIFB4	1	0	0
BPIFA2	4	2	9
BPIFA4P	0	0	0
BPIFA3	0	0	0
BPIFA1	26	33	90
BPIFB1	3	2	5
CDK5RAP1	299	278	920
SNTA1	83	62	215
CBFA2T2	338	284	971
NECAB3	34	23	99
C20orf144	0	0	0
ACTL10	4	3	17
E2F1	34	21	90
PXMP4	129	138	475
ZNF341	74	48	187
CHMP4B	2098	2290	6883
RALY	1097	1091	3058
MIR4755	0	0	0
EIF2S2	2279	2630	8023
ASIP	0	0	2
AHCY	4773	4878	13858
ITCH	1468	1670	4640
MIR644A	0	0	0
DYNLRB1	1231	1087	3380
MAP1LC3A	43	54	137
PIGU	209	226	542
TP53INP2	915	816	2578
NCOA6	1345	1340	3818
HMGB3P1	0	0	0
GGT7	42	19	56
ACSS2	628	762	2108
GSS	556	618	1806
MYH7B	0	1	5
MIR499A	0	0	0
MIR499B	0	0	0
TRPC4AP	1188	1124	3372
EDEM2	239	272	794
PROCR	381	373	1184
MMP24	6	5	7
EIF6	1263	1115	3593
FAM83C	1	1	12
GDF5	3	0	3
CEP250	714	628	1736
C20orf173	0	0	0
ERGIC3	1648	1554	4453
SPAG4	48	36	141
CPNE1	870	821	2356
RBM12	974	1141	3329
NFS1	484	470	1295
ROMO1	614	400	1395
RBM39	2351	2389	6531
PHF20	653	677	1954
SCAND1	96	32	123
CNBD2	0	0	0
EPB41L1	545	492	1551
AAR2	254	254	738
DLGAP4	1392	1088	3495
MYL9	40	27	105
TGIF2	367	360	1141
SLA2	2	0	10
NDRG3	700	747	2248
DSN1	60	68	162
SOGA1	410	350	1028
SAMHD1	191	174	570
RBL1	62	59	201
MROH8	3	4	13
RPN2	2652	2780	8165
GHRH	0	0	0
MANBAL	534	502	1347
SRC	1542	1343	4150
BLCAP	1124	1089	3242
NNAT	5	3	20
LINC00489	0	0	0
LOC100287792	0	0	0
CTNNBL1	564	614	1819
VSTM2L	250	140	397
TTI1	264	271	840
RPRD1B	400	431	1173
TGM2	3494	2700	8918
KIAA1755	0	0	5
BPI	0	0	0
LBP	0	0	0
SNORA71B	0	2	11
SNORA71A	2	1	0
SNORA71C	1	3	8
SNORA71D	0	0	0
SNHG11	54	46	79
SNORA60	0	3	1
RALGAPB	853	909	2825
ADIG	0	0	0
ARHGAP40	101	88	323
SLC32A1	0	0	0
ACTR5	67	73	200
PPP1R16B	3	1	11
FAM83D	88	89	314
DHX35	95	125	298
MAFB	20	8	40
TOP1	2134	2450	6947
PLCG1	1615	1551	3990
ZHX3	471	440	1259
LPIN3	969	885	2765
EMILIN3	5	10	5
CHD6	801	887	2605
PTPRT	0	1	0
SRSF6	1013	1042	3218
L3MBTL1	47	33	136
SGK2	0	0	3
IFT52	88	92	232
MYBL2	119	87	256
GTSF1L	0	0	0
TOX2	7	2	3
JPH2	9	6	26
GDAP1L1	0	0	0
FITM2	26	22	76
R3HDML	0	0	0
HNF4A	0	0	3
MIR3646	0	0	0
TTPAL	341	425	1198
SERINC3	1085	953	3091
PKIG	71	69	232
ADA	227	220	655
WISP2	3	6	14
KCNK15	3	3	9
RIMS4	1	1	1
YWHAB	3735	3798	11824
PABPC1L	116	106	357
TOMM34	500	496	1411
STK4-AS1	2	2	5
STK4	662	611	1937
KCNS1	4	4	23
WFDC5	12	6	13
WFDC12	1	2	4
PI3	80	78	250
SEMG1	0	0	0
SEMG2	0	0	0
SLPI	1535	1456	4195
MATN4	1	0	0
RBPJL	0	0	0
SDC4	5375	5578	13907
SYS1	242	236	747
SYS1-DBNDD2	0	0	0
TP53TG5	0	0	0
DBNDD2	1	7	19
PIGT	1337	1152	3443
WFDC2	88	78	145
SPINT3	0	0	0
WFDC6	0	0	0
EPPIN-WFDC6	0	0	0
EPPIN	0	0	0
WFDC8	0	0	0
WFDC9	0	0	0
WFDC10A	0	0	0
WFDC11	0	0	0
WFDC10B	0	2	9
WFDC13	0	0	0
SPINT4	0	0	0
WFDC3	12	11	33
DNTTIP1	246	232	791
UBE2C	110	120	293
TNNC2	0	0	4
SNX21	101	63	172
ACOT8	111	88	272
ZSWIM3	49	38	111
ZSWIM1	186	175	510
SPATA25	6	2	5
NEURL2	11	6	23
CTSA	1213	1207	3499
PLTP	499	413	1144
PCIF1	168	141	426
ZNF335	336	216	849
MMP9	547	342	826
SLC12A5	0	0	2
NCOA5	381	381	1113
CD40	92	83	266
CDH22	0	0	0
SLC35C2	419	350	1091
ELMO2	447	461	1377
MKRN7P	10	6	18
ZNF334	134	190	563
OCSTAMP	0	0	0
SLC13A3	69	60	212
TP53RK	160	139	499
SLC2A10	123	133	371
EYA2	573	584	1574
MIR3616	0	0	0
ZMYND8	2780	2960	8140
LOC100131496	0	3	11
NCOA3	1046	1058	3249
SULF2	2486	2150	6144
LINC00494	0	0	0
PREX1	3	3	10
ARFGEF2	546	591	1629
CSE1L	835	772	2277
STAU1	2055	2161	6311
DDX27	1483	1675	4793
ZNFX1	1748	1824	5422
ZFAS1	1028	943	2755
SNORD12C	0	0	0
SNORD12B	2	5	6
SNORD12	3	2	14
KCNB1	0	1	1
PTGIS	0	0	0
B4GALT5	1296	1430	4257
SLC9A8	195	194	595
SPATA2	130	80	347
RNF114	459	434	1253
SNAI1	3	1	5
UBE2V1	6	6	11
TMEM189-UBE2V1	0	0	0
TMEM189	1844	1792	4992
CEBPB	326	251	766
PTPN1	1556	1615	5110
MIR645	0	1	0
PARD6B	28	18	45
BCAS4	83	56	210
ADNP	957	1022	2949
DPM1	693	702	1717
MOCS3	98	81	298
KCNG1	50	26	116
NFATC2	3	9	4
MIR3194	0	0	0
ATP9A	686	767	2191
SALL4	9	9	31
ZFP64	577	489	1520
TSHZ2	63	87	204
ZNF217	1310	1231	3489
SUMO1P1	0	0	0
BCAS1	125	151	329
MIR4756	0	0	0
CYP24A1	996	799	2617
PFDN4	197	218	551
DOK5	0	0	0
CBLN4	0	0	0
MC3R	0	0	0
FAM210B	622	728	1993
AURKA	240	252	831
CSTF1	271	294	761
CASS4	7	2	13
GCNT7	0	1	0
FAM209A	0	3	7
FAM209B	3	4	7
TFAP2C	203	203	550
BMP7	5	9	18
MIR4325	0	0	0
SPO11	0	0	0
RAE1	364	396	1109
MTRNR2L3	0	0	0
RBM38	230	128	438
CTCFL	0	0	0
PCK1	0	0	0
ZBP1	0	0	0
PMEPA1	3069	2808	8246
C20orf85	0	0	0
PPP4R1L	83	71	221
RAB22A	506	519	1474
VAPB	913	1020	2785
APCDD1L	17	24	79
STX16	470	470	1482
STX16-NPEPL1	1	2	3
NPEPL1	1	1	4
MIR296	0	0	1
MIR298	0	1	1
GNAS-AS1	3	1	21
GNAS	7134	6577	19995
NELFCD	640	664	1900
CTSZ	3828	4304	12144
TUBB1	0	0	0
SLMO2-ATP5E	0	0	0
ZNF831	0	0	0
EDN3	0	0	0
PHACTR3	43	51	141
LOC100506384	0	0	0
SYCP2	4	3	2
FAM217B	88	122	294
PPP1R3D	82	69	267
CDH26	41	27	127
C20orf197	4	13	58
MIR4533	0	0	0
CDH4	51	45	132
MIR1257	0	0	0
TAF4	158	169	466
LSM14B	313	283	907
PSMA7	1055	971	3058
SS18L1	142	124	278
HRH3	0	0	0
OSBPL2	952	967	2900
ADRM1	1133	653	2040
LAMA5	3667	2027	6486
MIR4758	0	0	0
RPS21	2055	1905	6497
CABLES2	59	44	168
RBBP8NL	16	8	17
GATA5	0	0	0
MIR1-1	0	0	0
MIR133A2	0	0	0
SLCO4A1	5	0	12
NTSR1	1	0	0
LINC00659	1	0	0
MRGBP	186	162	503
OGFR	469	307	973
COL9A3	0	0	3
TCFL5	96	97	282
DPH3P1	2	0	0
DIDO1	841	702	2285
GID8	983	1174	3159
SLC17A9	15	6	34
BHLHE23	0	0	0
LINC00029	0	0	0
HAR1B	2	0	0
HAR1A	1	0	1
MIR124-3	0	0	0
YTHDF1	757	621	1874
BIRC7	0	0	2
MIR3196	0	0	0
NKAIN4	3	3	1
FLJ16779	10	9	27
ARFGAP1	738	545	1505
MIR4326	1	0	0
COL20A1	0	0	0
CHRNA4	0	0	0
KCNQ2	0	0	0
EEF1A2	36	10	55
PPDPF	1067	1099	3784
PTK6	532	394	1222
SRMS	0	0	0
HELZ2	252	139	551
