,cc01-20covid1,cc01-20covid2,cc01-20mock2,cc01-20mock1,cc03-19covid,cc03-19mock,cc03-20covid1,cc03-20covid2,cc03-20mock1,cc03-20mock2
SEC63,3795,4037,3393,4216,3418,4371,3600,3757,3389,3133
KPNA6,4420,4905,3485,3418,4436,4765,4608,4830,4530,4200
VIM,4596,4467,7683,8707,5628,14634,8479,7159,6216,7004
RTEL1-TNFRSF6B,424,346,285,333,531,337,301,404,227,261
FAS,4776,4522,1270,1781,2795,2418,1659,1790,1971,1677
RNASET2,849,900,1056,1380,828,1206,893,738,1718,1537
CD44,12638,12370,12957,12398,11325,28589,23935,24615,17631,15864
KCNG1,223,223,75,167,343,199,331,225,148,153
AGPAT4,308,472,229,267,409,476,345,389,180,243
SLAMF7,4115,3558,226,242,893,1491,251,211,30,33
BTN3A1,943,1176,858,1331,1092,629,628,553,709,618
MIPEP,2338,2412,1222,1278,1224,2306,1182,1292,2342,2186
PRKCH,1478,1332,1753,1360,3100,1949,1734,1967,2603,2529
INSRR,0,0,0,0,0,0,0,0,0,0
IFNGR1,9369,10351,7261,8583,9600,12411,7622,7834,10254,9033
B4GALT7,1096,1142,910,811,988,1176,940,936,1026,832
SH2D2A,5,18,5,5,2,29,75,77,9,4
VRK2,2736,2893,1413,1208,1575,2435,2172,2477,1807,1861
TNFRSF1B,1054,1220,927,1667,1646,1850,150,86,178,246
VEZT,4995,4958,2364,2727,2735,3052,4045,3697,2265,2159
POU2F2,13,1,30,53,105,78,50,32,20,18
BRD9,1452,1413,1072,1059,1679,1528,1669,1358,1142,1140
SNX1,7231,6802,3763,3798,4952,5493,4950,4905,5203,4958
TBPL1,698,617,411,400,541,540,655,643,721,567
ARNTL2,3983,3883,1207,1162,3887,4183,6175,6148,1470,1451
BCLAF1,5109,5705,4519,4664,6410,5945,4907,5052,5828,5370
SLC39A9,4011,3967,2778,4154,4283,4493,3729,4223,5246,4680
ANK1,50,98,140,64,257,236,304,625,458,422
IBSP,0,0,0,0,0,3,0,0,0,0
TFB1M,886,993,446,599,557,1100,687,742,637,669
RABEP1,2744,3270,1573,2120,2347,3951,2241,2283,2637,2576
HMGB3,5812,6324,2029,1933,3179,2455,6250,5181,2072,1855
NUP160,4481,5004,2436,3342,3475,3111,3326,3584,3612,2614
BAK1,3101,3275,1304,1101,2714,3340,4890,5273,2290,2007
MUSK,2,1,0,0,10,2,5,1,1,2
IKZF2,245,320,387,423,1002,214,459,556,1040,854
GRN,21755,21625,19733,22197,27406,28319,16161,17058,25200,22983
FAM13B,1074,1057,648,831,1095,799,943,1186,1008,857
ARHGAP31,837,822,781,859,494,476,298,293,309,337
CENPQ,252,280,244,193,279,217,207,215,220,251
SARS1,10023,10485,7478,8283,8135,10209,8962,8695,6912,6122
RANBP3,810,862,642,615,710,687,859,851,642,568
ARID4A,780,838,1416,1430,1395,647,499,473,1102,1024
EIPR1,1640,1630,1035,607,1060,1477,1225,1243,1754,1439
PNPLA6,2688,2537,1309,1139,2273,2129,3167,2931,1723,1562
IFT88,712,899,447,680,477,503,502,579,805,761
ALG1,3776,3812,1421,1676,2311,2830,1898,1853,1654,1347
ZCCHC8,808,724,821,1001,919,574,839,815,1046,912
ABCF2,2693,2768,977,868,1740,2358,2087,2271,1540,1525
CHPF2,5248,4678,3335,3677,5336,6932,4760,4965,3387,3493
LRRC7,0,1,10,14,13,11,2,10,0,8
FUT8,2002,1814,1950,2283,1658,1353,890,817,1126,1340
UBA6,2019,2371,1611,1558,2960,2611,3068,3197,2190,2178
GAB2,630,652,740,1010,294,259,227,237,159,209
ATP6V0A1,3106,3327,2887,2852,2389,4148,2507,3170,2807,2674
PIAS1,2713,2891,2537,2796,3474,2658,2408,2203,3313,2818
SLC4A7,850,692,778,979,694,1309,1059,1091,860,696
APBA2,120,102,305,389,485,1093,19,18,225,261
MAP2K3,7187,7078,3018,2930,5754,6308,4532,4422,3946,3675
EFCAB1,127,261,285,471,36,9,158,185,1832,1599
TMSB10,37530,38618,20013,20329,33843,48602,60975,56233,19885,19420
ASTE1,403,417,407,505,467,283,274,329,563,517
RNF19A,2963,2870,2761,3362,3919,1828,2952,2796,2557,2641
PEX3,1435,1485,878,952,775,1274,632,618,1038,901
GABARAPL2,3753,4218,4649,4088,5210,3495,3464,3431,4475,4056
MYOC,0,0,0,0,0,0,0,0,0,0
SH3YL1,1824,1791,2314,2741,1936,1314,1207,1260,2250,1971
FAM136A,3966,4056,2169,2373,2955,3283,2714,2888,2411,2102
VCL,18865,18045,7244,7416,12385,19311,24626,25083,11542,11169
DEPDC1B,519,498,64,30,281,530,230,334,78,61
DAPK2,1602,1540,778,1051,2221,144,110,79,132,128
NSMAF,2383,2342,1239,1493,1757,2274,1618,1626,1419,1465
ADSS2,3137,3275,1557,1797,2807,2324,2437,2452,3206,2853
STAP1,0,2,5,5,6,1,1,1,7,5
TIMP2,177,216,404,189,441,641,328,262,303,382
RFC1,1737,1985,1884,2186,1604,1304,1410,1313,1880,1560
TBC1D23,3761,3410,2218,2686,3569,2527,2873,3014,2703,2174
CUL3,5639,5702,4569,3887,6065,5365,5174,5306,6315,5852
MYOM2,127,160,111,140,52,30,11,11,39,46
OTC,0,0,0,0,0,0,0,0,0,0
CYP46A1,5,19,47,48,12,6,0,8,11,3
AC118549.1,2056,2128,1722,2064,1489,2147,1571,1517,2458,2117
SLC18A1,0,0,0,0,0,0,1,0,0,0
USP2,45,53,71,36,21,37,75,68,142,96
CASR,1,3,7,42,0,76,2,0,9,0
TUBG2,688,785,928,1293,1075,673,477,554,1232,1100
RPL26L1,1530,1564,636,693,1010,1291,1128,1004,942,778
FLT4,202,172,156,237,71,39,3,4,11,0
NSUN2,5722,5727,2681,2956,5158,6834,6349,6003,4059,3719
FBXO42,1443,1385,1658,1631,1868,1740,1221,1156,1882,1737
MFAP3,1173,1149,574,641,950,1115,1280,1443,1020,882
MRI1,1160,1172,1557,1612,2542,1583,850,771,1405,1354
METTL1,906,757,323,395,561,748,539,541,376,305
HOXC8,3,2,0,0,3,6,33,16,62,60
AGA,1202,1188,858,792,761,1009,650,699,858,763
PI4K2B,2968,3247,1500,1722,2171,1979,1774,1798,1814,1448
BOD1L1,679,795,1420,1619,1657,893,910,728,1234,1252
MAT2B,5437,6228,4088,4606,5174,3795,4376,4142,5357,4831
TLL1,43,37,0,1,9,0,35,12,3,9
EDC4,3671,3825,3172,4363,5838,3930,4072,4515,4525,4470
TRIO,1315,1333,819,1085,1502,1656,2037,1910,723,728
VCAN,308,401,1138,1165,403,1542,658,566,433,557
CLEC16A,1825,1845,1421,1680,1665,1498,1444,1606,1476,1297
MSR1,0,0,0,0,0,0,0,0,0,11
CDH1,36251,36332,15504,18381,24149,25233,51150,52205,23942,20817
MTREX,4076,3968,3047,3072,3638,3814,3108,3177,4641,4027
DNAH5,347,439,545,582,531,624,183,131,523,590
ZFYVE16,2247,2164,2084,1626,1957,1983,1837,1813,2022,1866
RIPOR1,665,695,672,1005,1919,1651,1763,1646,1034,1047
C6,28,16,46,45,1,0,0,0,15,49
RAI14,6647,6409,5997,7475,13362,7800,9453,8836,7560,7118
SOX30,2,11,12,10,15,7,4,7,7,2
PNKP,2250,2350,1225,1252,2148,1795,1873,2069,1360,1425
BEST2,1,0,8,3,3,2,0,1,10,4
PHLPP2,343,302,189,402,293,260,235,268,139,127
SPDL1,925,920,388,366,638,1145,1091,1101,691,515
STAU2,2260,2364,2220,2253,2471,1902,1893,1939,3268,2718
SLC66A1,995,1028,651,691,656,806,677,630,617,538
CTNS,1792,1647,537,506,1273,1150,1120,1072,534,617
RTN4R,488,520,178,187,317,228,584,616,158,87
PHF23,2529,2504,1384,1261,2180,1983,2083,1801,1751,1683
CDH10,0,0,0,0,0,2,0,0,0,1
INPP4A,1028,1183,775,752,1342,849,1234,1373,908,791
RAB27B,13874,14277,3661,3742,8062,11780,3788,4116,2012,2030
PSMA4,8675,9004,3086,3374,6429,7089,6376,5630,4345,3765
MYO16,19,18,14,19,25,39,21,9,36,17
LSG1,1989,2449,1093,1132,2020,2129,1743,1938,2284,1902
PARP3,874,909,862,1038,1039,588,560,555,787,955
TNC,8873,9869,7583,9011,4643,6770,28456,26395,1907,1664
THAP3,563,483,556,809,619,390,388,481,520,508
RIPOR3,129,155,411,655,2440,2174,45,49,244,224
TDP1,1093,1043,591,724,808,1418,1248,1297,1360,1104
AIFM2,2233,2319,544,808,1237,1019,944,840,573,539
C2orf83,0,0,0,0,0,0,0,0,0,0
AL049834.1,315,407,370,342,282,242,278,238,519,472
MED17,2037,1573,1773,1806,1775,1394,1944,1879,1873,1639
RETSAT,4956,4683,3126,3341,3335,5379,3231,3313,4550,4248
CAPG,8714,9179,3684,4008,6830,8583,10396,10229,5300,4766
AP2S1,2339,2605,1373,1063,1891,3506,2119,2120,1611,1555
USH2A,0,6,1,7,0,0,2,0,9,25
ZPBP,3,3,9,0,0,0,0,0,0,1
TG,23,25,23,214,32,37,3,12,71,25
ADAM28,674,702,1193,1840,2557,510,1127,1310,3891,3546
BARX2,28,18,103,148,28,117,39,69,71,125
DCUN1D1,2585,2664,1690,1592,2598,2392,2527,2455,2814,2392
JADE2,627,759,544,704,1025,542,295,294,359,336
ZIC2,0,0,0,0,0,2,0,0,0,0
LCP2,2,0,0,0,0,22,6,0,0,0
TRIT1,868,831,947,959,842,1043,616,620,1627,1490
ADRB1,123,185,269,274,1061,101,200,194,776,568
GUCA2B,0,0,6,0,0,0,0,0,0,0
CUL7,2356,2440,4095,5100,2504,2521,1480,1692,3292,3039
CTNNA1,44415,42104,19922,22669,33325,28705,49725,49802,24842,22371
PHKA2,1200,1175,886,873,717,666,990,1103,1109,1090
CNTLN,103,122,158,156,70,249,115,171,231,256
EPHA3,0,0,6,10,0,0,0,0,0,0
HSPA5,75079,73925,40619,52593,63588,57920,68723,65237,31309,28479
DSG2,28275,28186,9477,15138,16960,24223,23676,24714,14285,12519
GEMIN8,708,794,709,785,435,558,554,447,789,654
OFD1,1713,1917,2726,3338,4639,1465,1031,1339,2127,2261
GPM6B,76,135,365,353,117,161,105,87,669,577
MAGEC2,0,0,0,0,0,0,0,0,0,0
PREX2,0,1,19,109,0,0,0,1,8,2
WDR37,1169,1425,952,1033,1295,1513,1310,1297,1345,1052
YTHDC2,2286,2237,1386,1121,1437,2035,1426,1402,1416,1485
CTPS2,1549,1606,1187,1446,1247,1199,1086,1282,1376,1285
ATP6V1H,3705,3855,2170,2583,3115,3384,3028,3133,2461,2528
POLR2B,6773,6388,3877,4473,5637,5565,5108,5192,5771,5267
FAM214A,1884,1714,1445,1242,3255,1366,811,872,1094,1228
ARAP2,1372,1711,1794,1474,3804,1294,1726,2026,2772,2364
TPR,3569,4145,4295,4907,4186,3747,3386,3551,5575,4811
CP,2862,3124,21084,31762,9790,1385,1987,2248,11957,10064
KIAA0556,655,794,783,749,805,748,773,1148,1384,1263
DTNBP1,593,679,488,584,647,473,511,487,483,555
XK,138,141,82,82,42,62,11,0,76,99
ANO2,3,2,21,33,3,21,11,4,3,0
C12orf4,1247,1292,622,629,784,1088,986,948,823,632
SCML1,274,319,404,488,273,342,171,204,285,215
WWC3,1802,2066,2254,2718,2019,1184,1886,2151,984,1168
ARHGAP6,23,10,68,67,53,199,2,6,56,79
FAM184B,0,4,13,14,1,1,0,2,9,23
MAP4,5830,6070,3179,3142,4067,7929,7817,8444,4992,4619
GOPC,2581,2603,1641,2201,2196,2874,3226,3185,3020,2672
ROS1,7271,7395,5103,6020,2568,3118,758,690,166,170
USP28,1582,1579,1646,1682,1255,1084,1210,1384,2517,1932
HDAC9,1313,1472,281,413,1914,678,2192,2085,1000,882
TSPAN17,4503,4312,1688,1606,3342,3533,3313,3532,2052,1760
NOP16,2422,2401,827,948,1655,3118,1845,1840,1364,1274
CC2D2A,773,675,585,609,545,683,223,353,1567,1475
RRM2B,9504,8621,7691,10941,4047,6068,2994,2986,4823,4057
ZNF800,1037,1061,1003,1109,1814,974,836,871,1406,1171
TNFRSF17,0,0,0,0,0,0,0,0,0,0
SNX29,235,247,381,433,295,205,254,272,334,295
LMO3,11380,12266,8846,10815,4939,3534,794,790,1154,961
MRPS10,4081,4602,2087,2039,3131,4811,2893,3187,2609,2483
GUCA1A,6,0,8,8,0,0,0,0,21,17
RSF1,879,925,1183,1419,1472,909,869,870,1311,1138
VPS13D,1957,2227,4462,5995,3159,1264,2344,2491,2511,2262
CELF2,7723,7297,3148,3259,2562,2439,1144,1051,1782,1408
FAM120A,3251,3580,1693,1947,2278,2451,2841,2953,2175,2055
R3HDM1,852,979,485,514,550,1557,770,909,753,848
COL9A2,439,557,1810,2706,3409,152,965,1120,2777,2967
KITLG,3626,3922,4342,5033,2315,3779,1196,1345,2895,2740
ERCC8,438,404,205,379,320,495,395,476,522,436
ADAMTS6,46,23,7,8,10,0,175,114,9,20
H6PD,1172,1185,3814,4559,2383,1866,1244,1321,5365,4798
VAMP3,6278,6413,3941,4383,5595,7860,7035,7170,5087,4581
PER3,634,742,805,871,1348,193,716,966,1250,1169
UTS2,0,1,0,2,17,25,0,0,0,0
TNFRSF9,38,31,40,50,36,24,92,28,0,1
EPN3,1337,1373,2278,1470,3259,2331,1942,2360,3934,3368
LTBP1,1135,1254,2717,2636,3775,12695,1959,2042,1956,2121
RCN1,8850,8498,5638,6328,6391,10995,3878,3561,5212,5274
ELN,0,3,189,162,5,0,2,4,1716,1648
RFC2,1773,1703,640,728,1108,1415,1163,1201,1030,901
ARID1B,1956,2315,2373,2561,2568,1598,2119,2267,3719,3018
CLPTM1L,15368,15098,5643,6514,9014,10186,8246,8363,5890,5828
NEDD4L,10591,10639,6318,7701,9178,3631,5338,5254,4102,3460
FOXP3,8,9,6,4,4,0,1,1,1,3
PPP1R3F,169,137,277,266,315,113,138,158,306,270
HEXB,7398,8018,5235,7235,7622,11144,4530,4597,4822,4682
PTCD2,407,420,439,394,376,532,295,302,566,579
NEXMIF,11,8,5,9,0,0,0,28,135,70
JKAMP,4002,3641,2132,2493,2702,3396,2684,2893,2559,2402
DKK3,1639,1631,2803,2592,3576,13407,6307,5640,5057,5035
ARHGEF5,1924,2009,1465,1474,2532,2004,2035,2612,2028,1829
NFE2L3,532,500,980,798,1468,1331,1244,1184,2215,1681
MCUR1,1760,1809,1655,1641,1481,1375,1106,1162,1301,1292
LIMA1,8552,8813,4774,5661,7682,9100,15676,15767,7424,6505
LETMD1,508,657,1165,1553,912,743,299,314,1006,908
SLC4A8,17,30,23,44,52,80,90,130,346,137
LAMC3,20,47,167,325,56,58,15,14,90,87
PTGER3,1,0,39,0,3,0,8,0,20,2
TNIP3,36,34,76,55,90,96,100,57,181,191
MAPK9,2896,2760,1593,1891,1969,2139,1997,1664,1374,1376
COL23A1,9,0,93,90,19,15,0,1,130,137
BCAR1,4635,4443,4350,5422,7374,7211,5280,5382,5053,4692
FAM160A2,1207,1497,1525,2074,2075,1170,1204,1163,1500,1797
HERPUD1,6615,6617,4546,5830,7515,3785,5556,4964,3866,3329
HOMER3,2529,2473,644,695,1909,3417,6426,5712,740,711
RAD51,490,511,64,53,254,399,524,465,142,102
POLQ,165,304,65,65,165,333,150,188,245,212
PIK3CB,1277,1151,1377,1457,1313,1576,1296,1410,1906,1852
CYBA,3115,3409,2121,2521,4164,6164,5196,4895,3820,3603
THOC3,1645,1661,1318,1645,2046,3214,1583,1615,2598,2438
HEBP2,4903,5396,4663,3571,9723,5449,8187,8316,5972,5537
MPHOSPH9,549,610,549,694,247,551,369,414,699,749
PLEKHA5,1070,1260,2245,2095,1881,1330,1318,1461,4823,4203
PRSS8,11441,11147,9684,11975,22909,6193,8536,8388,6219,5846
SIKE1,1811,2046,1693,2236,1750,1681,1636,1744,2057,2085
RRP12,1926,2158,1373,1941,2050,3219,2477,2420,1983,1442
FNIP2,4132,3921,4107,5299,2353,2458,904,954,1421,1344
MSMO1,28517,28095,11976,12508,13568,23924,36546,34860,8477,7697
TTC17,3039,3330,3870,5280,3423,3246,2127,2208,4380,4158
ALX4,0,0,0,0,0,0,0,0,0,0
FSTL4,37,27,49,67,21,16,4,1,34,28
FOXN3,778,771,1441,1780,1712,1164,1242,1367,4028,3176
METTL24,0,0,0,0,0,0,0,0,0,1
AKR7A2,2316,2264,2351,2795,2051,2491,1855,2089,3818,3645
MRTO4,2287,2451,834,1107,1496,2892,2398,2098,1404,1361
NNAT,12,9,130,169,100,30,2,3,102,150
USE1,743,749,524,500,544,476,390,372,393,312
MCF2L2,54,52,36,50,112,47,45,17,38,16
NRIP2,8,7,71,87,50,13,4,3,60,43
LAMA3,15226,15871,2756,4676,7674,20506,85471,88211,6980,5825
AP5M1,2991,2658,1706,1871,2018,2498,2244,2622,2953,2916
ANAPC4,1683,1768,1115,1350,1405,1580,1217,1387,1177,1278
KCNQ1,983,1111,2513,3002,1281,379,431,375,2165,1685
TRAPPC3,4776,4787,2578,2533,3820,3727,3799,3527,2665,2755
THRAP3,4486,4847,3832,4239,4624,5309,3732,4005,4885,4901
PHPT1,3569,3573,3993,4384,2849,3872,2433,2340,3397,3332
ENTPD2,23,13,24,52,44,25,25,24,55,52
LY75,431,401,906,997,475,206,415,460,823,844
ARID4B,1552,1902,2359,2470,3465,1557,1792,1659,2435,2259
OPN3,1156,1202,796,917,1324,1563,2518,2562,1358,1372
SDCCAG8,2058,2043,2583,2513,1498,1717,1182,1181,1589,1465
PTPRN,35,37,247,272,64,101,26,36,46,37
HHAT,394,492,278,410,306,328,413,414,941,646
KIF1B,1757,1564,1283,1092,1727,1776,1724,1783,1672,1327
FOXC1,185,193,187,219,874,254,611,588,249,292
TBC1D22A,1539,1388,1290,1674,1653,1583,1315,1444,1808,1424
SYNE2,775,1130,2628,2940,3078,832,1329,1158,3364,2751
PLEKHH1,41,73,314,296,534,216,365,309,738,655
ATP9A,2761,2430,1900,2144,3223,1916,3730,4227,3102,2520
SPO11,0,0,0,0,0,0,0,0,0,0
CBLN4,0,0,0,0,0,0,0,0,0,0
CHRDL2,4,2,19,9,5,1,0,0,0,1
FAM168A,256,332,272,371,268,390,214,285,290,398
RELT,251,263,71,127,385,280,354,318,83,90
GALC,3906,3681,2097,2902,1973,2275,1668,1526,2311,2018
NOP58,4050,4176,2098,2419,3157,4766,3468,3388,3282,3079
SZRD1,3208,3349,1479,1564,2346,2889,2788,2771,1818,2041
KCNH2,11,3,23,10,1,0,4,8,34,14
CUL1,5297,5519,3152,4057,4915,5042,4863,5010,4238,3936
FAM114A2,1286,1208,848,982,1114,1421,983,1009,963,858
CYFIP2,3985,4645,3304,3475,1426,1170,529,495,1235,1050
TAB2,956,1047,853,793,953,940,789,652,748,765
GINM1,2549,2582,2486,2667,2802,2387,2179,1890,2599,2352
EIF2AK2,5352,5448,1504,1633,5772,1872,4124,3541,1761,1557
AC022966.1,1534,1721,1789,2372,1634,1714,1357,1489,1698,1571
KMT2C,736,884,2298,2302,1997,622,921,910,2037,1643
MCOLN3,59,58,12,39,85,46,51,77,64,24
CCDC85A,256,218,133,133,68,86,4,4,0,5
PUM2,1726,1933,2616,3440,2501,1486,1020,1127,4126,3414
MRPL43,2438,2633,1657,1702,1931,2105,1942,1777,2083,1890
ITIH4,11,20,60,59,39,2,8,2,5,1
ITIH1,0,2,0,1,1,0,2,0,2,11
HPF1,983,1108,455,553,515,645,549,586,521,567
ZFR,5033,5170,2978,3768,3918,4872,4161,4600,4642,4292
ZNF280C,269,321,271,360,174,206,185,132,301,316
NPFFR2,18,4,9,0,6,69,51,40,10,6
PHF21B,0,0,1,0,0,0,0,0,0,0
TRAF1,259,288,178,279,186,178,736,688,206,291
RC3H2,2293,2609,1743,2148,2295,2238,2899,2697,2425,2315
IL17RB,95,134,108,223,86,34,37,34,42,43
TRAF3IP2,2064,1875,1404,1565,1913,2402,1931,1881,1865,1734
GYG2,144,117,174,159,126,303,26,23,185,107
DCBLD2,23563,22135,5043,5447,11900,19392,9282,9116,2711,2793
SERPINB3,16519,17149,126826,92591,57863,60178,68172,89843,613098,557017
SOAT1,5576,5521,2241,2787,3057,3101,3165,3061,1314,1232
PKP2,2480,2316,1117,1768,2211,5331,8557,8681,3083,2745
MSH4,0,0,0,0,0,0,0,0,8,4
F7,0,0,0,10,0,0,0,0,2,1
GDI2,12843,13866,6027,6369,9839,13177,12653,12472,8794,8317
PRDM1,349,267,1274,458,3347,1647,618,665,817,710
ATG5,3187,3429,1694,2166,2595,2489,2755,2921,2371,2200
TMCC3,753,726,369,288,2114,1077,1887,1910,291,350
PITHD1,1638,1675,1127,1227,1256,1521,852,902,1361,1207
MTA3,1285,1349,1281,1145,1354,1405,1117,1248,1866,1472
USP13,488,593,474,570,330,416,226,195,1065,962
ATP11B,3229,3047,2524,2705,3301,3751,3112,3542,3410,3307
LAMC2,88989,77501,5462,8604,38620,48861,350874,348974,12894,11715
CDK14,1107,865,602,875,753,756,1175,1324,662,598
SEC61A1,32456,31307,16198,20984,23530,27298,25410,25604,15287,14714
PPP1R12A,3202,3082,2343,2681,3712,3353,3663,3717,3393,3114
RASGRF1,186,198,302,327,127,53,33,27,9,26
CAMK2B,7,8,18,7,20,19,3,4,8,6
CROCC,663,692,788,903,745,561,488,588,2069,1913
POLR3E,2098,1951,1292,1491,1817,2012,1632,1660,2089,1783
ATP2B4,6374,6742,5892,6435,4487,9293,3318,3672,3627,2661
ZC3H11A,4504,4505,5665,7251,6391,3823,3571,3792,7304,7205
RIOK2,1630,1693,1309,1428,1221,1602,1040,1059,1414,1257
YIPF1,1774,1754,1025,998,1617,1483,1938,1774,1108,1111
NDC1,1951,1836,653,986,1118,1912,1261,1389,1601,1317
DGKG,184,175,2,55,82,52,2,7,1,11
FLYWCH1,1844,1871,1705,1908,2330,3064,2852,2889,2768,2806
UNKL,546,499,400,432,809,250,226,195,308,252
TBXAS1,211,239,113,151,686,1042,79,74,55,26
PARP12,4106,4113,885,931,4801,1696,3251,2640,1186,1241
ALDH18A1,5698,5671,4406,5816,3748,6434,4748,4537,5339,5043
TARBP1,1040,1015,1250,1232,827,1093,871,877,1736,1638
GATB,1417,1289,813,614,843,1291,981,1007,1098,953
MXD1,1873,1964,3531,1519,14820,1854,2461,3238,1616,1543
CDK17,1765,1778,1363,1620,1789,1287,2080,1842,1919,1673
DNAJC25,621,646,505,662,551,482,448,468,492,311
SLC2A3,425,487,9168,15620,1127,1043,41,15,540,612
PSD,38,35,153,190,81,46,22,31,86,138
CTDP1,2066,2059,1162,1232,2374,1778,1837,1795,1695,1562
YBX3,10482,11665,19560,23949,21487,19022,12566,12988,23373,22162
STYK1,422,398,397,404,631,364,395,347,1024,750
WNK1,1952,2059,1920,1962,1592,1684,1565,1363,1827,1310
RPS17P5,0,1,0,0,0,0,0,0,0,0
CCAR1,3831,4267,2480,2187,3682,4246,3711,4280,3313,2960
OGFR,3059,3125,1444,1561,3415,1829,2368,2091,1302,1354
GNA15,3373,3325,2559,2373,5782,4712,7652,7707,4428,3792
CREB3L3,0,0,0,0,0,0,0,0,0,0
PIGV,1575,1486,1383,1289,1124,1178,1153,1239,1621,1401
PTPRU,3533,3615,4142,6203,6915,3640,5731,6188,8311,7817
SNRNP40,2881,2982,1231,1586,1795,2435,2024,2157,2020,1800
RIMBP2,0,0,0,16,0,5,0,0,9,21
COL11A1,7,3,196,297,8,41,3,0,74,116
QSER1,462,532,394,598,534,537,393,341,546,489
MPC1,2097,2337,912,1043,1106,1262,1166,1113,1034,815
ACAA1,7660,7946,4140,3937,4673,6644,4358,4390,3282,3156
BCAT1,2459,2714,1413,1338,2708,2776,1484,1426,1033,1042
HDAC7,3184,3182,1913,2025,4325,2117,2642,2753,2130,2007
LZTS1,52,22,28,54,48,233,179,210,103,90
PRDM6,4,2,55,59,0,6,2,5,30,7
WNT8A,0,0,0,0,0,0,0,0,0,0
SPAG4,115,132,1705,2105,840,150,32,58,390,313
NCKAP1,13220,13441,7541,7373,11689,11652,12911,13354,9660,8356
MRPS35,4310,4343,1759,1918,2821,4023,3237,3078,3287,2986
GUCY1B1,447,540,781,848,451,613,165,261,1410,1154
SFSWAP,826,928,1226,1412,1472,848,721,844,1029,1040
TNK2,368,420,255,261,424,251,349,375,166,170
MON2,1929,2026,1998,2266,2267,1965,1525,1793,2479,2049
CDH3,17307,16694,7762,11307,10568,21128,37542,35537,14418,12774
ARSF,0,0,17,1,1,0,0,0,27,15
GPBP1,3727,4123,4079,4645,6081,3034,3004,3268,4763,4234
DGAT2,664,676,3110,1177,1048,1029,419,462,1484,1119
ZNF112,210,381,397,457,328,176,182,247,437,469
CS,13227,12957,6277,6445,7623,10930,8840,8658,8351,7542
LTK,31,36,113,111,668,572,18,24,64,106
MRPS24,1964,2119,1264,1173,1511,1864,1317,1160,1486,1345
ELMO2,3415,3411,2489,2733,2810,3226,3534,3478,3282,2814
WAPL,3627,3530,2245,2707,3291,3182,3123,3438,3664,3012
VMP1,7843,8677,8337,9009,26304,8688,6169,6602,6761,6938
APPBP2,2236,2590,1889,1940,1981,1711,1806,1746,2260,2177
POLD1,2208,2261,1516,1951,1745,1842,1426,1417,1533,1184
SEZ6,14,10,33,36,34,7,2,0,16,8
EIF4B,4741,4596,4854,6377,5542,6220,3460,3397,6178,5574
SLC6A16,5,0,13,42,3,5,0,1,13,20
BICRA,58,78,97,80,100,44,48,67,63,68
SPHK2,782,748,421,482,460,482,571,588,579,488
RPL18,8786,9102,8159,8837,7884,8899,6555,6103,10190,9270
CA11,57,64,157,142,54,11,5,12,123,93
ISOC2,1402,1410,1071,1106,1113,1595,1292,1202,1902,1645
U2AF2,572,549,371,449,612,572,581,567,394,383
EPN1,2412,2577,1453,1598,2320,2444,2229,1979,1543,1500
MED29,3002,2906,2368,2563,2185,2518,2093,2245,2865,2654
AHRR,0,9,5,13,19,20,2,3,11,2
GSC2,0,0,0,0,0,0,0,0,0,0
ZNF275,314,340,268,478,174,341,166,149,246,297
MTMR1,2507,2376,2036,1853,2162,2202,2846,3305,3105,2521
GPC1,8510,8308,5318,5559,9650,15612,11487,12223,11045,10718
ADCK1,497,591,300,192,312,393,366,321,366,456
HAGH,2278,2288,1854,1909,2045,1582,1595,1566,1768,1593
RNF4,4554,4194,2868,3047,4435,4244,4024,4204,3843,3348
CASP8,1511,1602,1503,1451,1628,1400,817,900,1157,1232
LIMCH1,10105,10612,7953,9945,6787,6040,652,535,1463,1067
INTS13,1882,1865,947,1100,1182,2276,1311,1343,1187,1104
TM7SF3,10126,10189,5616,6204,6669,9638,6381,5989,9165,8505
DLX3,46,34,213,39,74,69,33,18,65,55
SPA17,611,619,348,367,285,411,352,373,1035,1075
TSPAN32,0,0,4,9,0,2,0,0,5,1
CCN5,0,0,46,55,11,15,0,2,28,14
DMRT3,5,8,6,4,1,0,8,15,178,157
ST3GAL6,310,349,503,393,541,289,166,237,195,149
ATP2C2,2216,2195,4843,6293,5128,1638,1348,1540,5586,5918
NGFR,88,121,507,823,222,1159,382,591,1777,1675
CDON,39,36,69,62,42,3,36,50,162,173
TAF2,2212,2288,1341,1137,1667,2301,1924,2130,1913,1899
HIPK2,1228,1144,1289,1342,1637,1607,802,889,1150,1130
TNPO3,3685,3557,2181,2326,3642,4032,3525,3461,3380,2969
BORCS8-MEF2B,49,8,49,96,65,34,56,47,82,124
RFXANK,1675,1804,1208,1055,1670,1341,1425,1398,1369,1329
TMEM161A,1154,1358,1161,1278,1088,1406,892,839,1322,1341
LPAR2,1376,1350,570,642,1242,987,1431,1363,916,906
CTSA,15395,15853,10156,12255,14180,14123,3865,3823,6203,5798
SUGP2,2745,2713,3313,3815,3901,2999,2185,2402,4767,5156
SLC12A2,1247,1326,936,1188,1455,1471,1825,2320,1623,1332
SNX24,970,954,651,571,546,576,809,741,512,472
EYA2,210,228,394,374,667,245,636,721,709,721
