X	Control_49604	Control_49605	Control_49606	Control_49607	Control_49608
NR4A3	563.4	25.1	1785.8	1272.2	151.9
HGF	270	8	79.6	19.3	49.4
HGF	103.9	118.7	93.8	99	162.1
EPOR	12.8	65.8	85	72.3	50.7
EPOR	55.5	44.2	78	135.1	40
ATXN7	49.1	50.1	86.1	48.1	18.9
RAD51D	63.1	90.3	70.4	92.8	81.6
ESRRG	11.1	20.3	73.7	75.1	46.9
CREM	287	55.7	341.8	442.6	12.1
NCAM1	6.8	7	5.6	10.4	7
STAT1	35	137.8	144.3	22	76.8
CASP1	267.3	368	523.3	304.8	381.8
AIMP2	236.2	267.7	202.9	109.8	237.8
AIMP2	65.1	172.5	131.4	155.4	153.8
NFKBIL1	15.9	13.6	11.6	20.4	13.4
BUB3	473.7	234.4	185.2	163.7	201.8
CYP2E1	62.4	63.7	18.2	64.7	104.9
CYP2E1	14.7	7.1	3.4	5.9	6.4
PLG	4.1	6.1	38.7	7.6	9.2
PLG	37.1	32.4	60.4	97.8	18.8
ADARB1	6.2	12.8	13.3	16	14.3
MIR6778	8.5	11.7	17.1	22.8	42.1
CSDC2	4.8	16.9	6.7	8.9	16
NRXN2	34.5	50.4	61.4	11.8	66
NRXN2	12.9	8.1	28.5	15.6	9.9
KDM4C	120	159.9	85.1	136.4	62.3
ASCL1	25.6	28.7	30.9	75.6	95.3
LOC101929036	15.8	6	32.3	8	65.6
ASCL1	35	26	22	15.8	7.5
ASCL1	50.3	46.5	64.5	37.2	84.4
ZNF268	52.5	82.5	98.8	95.7	60.9
GABBR2	24.8	41.5	8.4	8.7	33.1
GABBR2	48.5	23.1	49.7	121	181.8
PFKFB2	85.5	122.9	106.8	154.2	99
ABCB1	124.4	102.6	78.4	143.5	158.6
ABCB4	84.2	50.5	10.1	14	3.7
TCL1A	220.2	226	195	79.4	85.1
PCM1	3.3	6.8	8.6	4	4.4
PCM1	69.9	89.9	77.5	95.4	69
PIGO	63	127.5	35.2	149.5	73.4
SOCS1	6.6	11.9	10.1	16.2	14.2
SOCS1	2.5	8.2	15	20.5	18.5
SOCS1	17.5	51.9	28.2	14.1	24.4
GATA6	427.3	76.2	129.4	113.1	137.2
OLR1	47.7	128.7	140.9	83.3	107.4
GART	119.1	74.4	70.5	70.7	25.2
ABHD14A	80.9	95.8	64.6	160.1	111.7
GPD2	44.9	44.5	6.7	50.8	75.6
MRPS12	5.5	6.3	6.2	16.5	13.4
GOSR2	12.6	62.9	50.9	40.8	60.2
SLC25A1	48.1	70.6	98.9	44.3	114.5
EWSR1	104.7	215	213.6	233.5	178.7
EWSR1	4	5.7	6.1	3.7	23.9
HPX	21.9	77.5	9.5	92.2	101.1
IDH3B	222.4	308.8	233.7	232.2	192.4
MAP2	39.8	81.7	47.6	72.8	82.3
MYT1L	42.9	45.8	9.5	42.5	6.4
MALT1	106.3	60.5	81.2	64.9	86.3
MALT1	98.3	76.9	88.9	85	5.2
CALML3	3.6	10.8	12.9	8.3	20.5
CALML3	64.8	17.1	65.9	27.7	54.8
CCNO	65.5	16.8	63.7	21.1	108.3
PCGF1	17.5	27.7	9.7	42.2	24
PCGF1	26.1	20.9	72.1	80	19
UBE2E3	335.4	127.8	137.8	114.7	135.3
CARD10	5.8	41	11.1	14.1	16.1
CARD10	76.2	62.4	86.6	118.2	98.3
APEX1	229.8	204.6	198.8	158.5	227.1
ORC3	195	70.4	107.3	35	67.5
IDO1	49.7	112.2	134.2	180.6	117.8
DOHH	3.8	46.4	97.4	12.1	22.1
CD247	60.6	155.3	28.6	174.7	54.3
SPAG6	67.2	59.6	10.7	130.1	105.1
SPAG6	51.1	86	55.1	48.8	47.9
RPL5	35	33.6	81.3	62.2	85.7
SNORA66	13.7	2.1	17.3	8.3	17.9
KCNH2	116.7	219.5	140.2	167.1	136.4
NOS2	40.9	87.1	72.2	53.2	55.5
PRKCQ	22.1	187.7	87.2	141.9	138.1
PRKCQ	173.1	144.8	99.5	175.1	128.6
SLC12A5	70	136.5	67.1	9	65
PGM3	3.3	7.9	17.1	11.2	5.7
CTSZ	22.2	54.5	70.4	2.9	5.9
FRMD8	9.1	69.6	36	72.7	37.6
LYL1	116	21.5	14.4	97.9	67.3
IDH2	46.1	51.2	145.2	73.9	112.6
IDH2	20.7	121.8	70.3	7.4	25.8
SLC11A2	11.7	13.2	7.5	12.5	53.2
NAPG	50.4	70.2	64	61.4	51.4
SERPINC1	20.8	5.6	10	6.6	69.7
TPI1	49.5	14.4	6.4	62.8	10.2
RAPGEF3	22.4	10.1	5.5	9.2	12.3
TPX2	78.6	136.8	102	200.6	209.7
TAF5	96.4	104.1	44.7	72.8	72.4
HAUS3	107.5	61.8	9.2	58.9	14.9
TSHR	21.1	4.2	10.7	17.2	12.7
RND1	42.5	15.9	16.3	22.5	21.6
LOC101060386	1.9	12.3	2.6	6.5	0.8
MAPK13	62	101.4	34.6	122.6	125.4
MAPK13	61.4	74.3	19.1	20	14.1
PDE6G	25.7	23.7	23.4	34.7	13.1
ZNF589	6.3	22.1	21	11.2	11.7
ZNF589	13.9	53.6	40.6	25.9	113.8
SARDH	26.2	102.3	51.8	89	92.5
UPK1B	189.5	136.6	105.7	224.5	216.6
UPK1B	341.2	26.9	80.9	123.8	181.4
AQP4	2.6	2.2	36.9	2.8	65.7
AQP4	1.7	2.2	2.4	4.5	2.8
AQP4	34.2	11.5	9.5	13.5	14.9
CHKB-CPT1B	84.7	17.8	32.9	72.5	23
CHKB-CPT1B	54.9	101.1	21.2	119.2	21.1
CCL19	218.6	254.2	117.1	182.7	103.7
ST8SIA1	24.9	41.3	42.9	44.7	3.7
CTSV	98	102.9	94.3	70.2	45.1
MARCH2	27.2	23	82.7	30.6	24.2
SERBP1	148.3	129.6	189	148.8	211.9
SRSF5	8.5	11.8	30.1	23.1	48.5
KCNAB1	43.1	46.5	19	6.2	53.3
KCNAB1	18.5	44.7	30.3	21.3	22.6
CELA3A	48.9	43	49.4	39.4	38.7
AGER	25.8	116.9	12.4	76.2	6
ABCA4	14.3	13.9	14.9	18.1	6.8
SEMA7A	55.1	139.6	26.5	104.7	61.8
TPSAB1	5.2	11.7	8.6	18.6	19.9
ANXA9	11.6	14.7	4.7	8.4	5.5
HR	10.6	8.8	10.9	17.1	15.5
MPZL1	66.7	108.9	115.6	31.5	115.4
MYL4	132.6	148	355.3	134.4	124.7
LAMA4	11.7	6.3	7.2	82.8	92.1
ARC	11.7	6.5	9.4	8	18.1
DTNA	7.5	14.4	8.9	44.5	10.6
MAGOHB	6.7	91.8	159.6	117.2	64.4
MAGOHB	96.8	110.5	104.6	99.1	85.8
PARD3	71.5	70.1	17	30	87.9
IGFBP3	545	416.2	479.2	397.3	391.7
CYP4B1	78.5	9	9.6	12.6	127.1
NOL7	321.4	217.3	134.7	206.2	115.4
AF130102	110.7	123.4	79.4	174.9	107.2
ABCA2	5.6	7.2	6.5	9.7	6.2
ABCA2	4.3	51.4	9.4	12.5	26
SH3GLB1	255	401	362.5	341.2	512
VWA5A	132.1	118.5	90.6	121	118.4
FOXA2	7.6	18.1	19.5	17	13.9
MED6	7.9	83.7	74.2	25.4	30.3
FYN	353	229.1	201.4	178	199.1
BLOC1S1-RDH5	12.4	35.9	25.2	15.6	55.3
CLCA1	91.6	92.3	56.7	131.7	162.2
CACNA1D	12.9	28.6	48.8	14.7	75.5
SND1-IT1	9.3	39.2	40.7	27.5	15.1
HNRNPH3	245.5	100	184.6	87	181.9
KLHDC10	421.2	62.5	106.5	76.2	61.8
HPS1	39	21.5	19.7	31.5	23.5
NLRP1	6.3	6.7	6.1	16	21.3
INVS	30	7.4	5.6	35.3	49.6
RPL39L	32.7	24.6	8.5	10.2	24.6
SH2D1A	45.2	122.2	98.8	58.3	19.5
SPAG1	50.9	32.7	66.4	63.3	41.1
IL1A	14.6	49	18.2	25.4	19.8
KCNJ15	44.7	61.1	65.6	87.4	66.1
RANBP3	20.5	15.6	24.3	17.1	17.7
B3GALT2	0.9	3	6.9	4.4	29
PRM2	2.3	2.4	2.9	6	8
LOC101930361	9.6	12.8	14.3	21	33.3
SEMA4F	85.3	125.1	66.3	59.4	105.8
BANF1	99.5	103.7	134.1	125.4	150
PSG9	4.6	8.8	11.5	8	9.6
RAB6B	24.4	20.6	47	9.9	6.5
LTB4R	9.7	25.1	33.6	58.8	13.4
ARPC4-TTLL3	22.6	52.8	22.3	31.6	13.5
TM7SF2	25.8	92.5	88.4	47.2	24.3
SDHC	248.3	200.6	238	206.3	254.2
EFNA3	7.6	10.3	13.6	17.4	18.5
CCL11	75.5	40.4	66.9	6.8	56
SHOX2	6.6	32.3	10.1	15.2	69
SHOX2	32.8	7.6	6.8	3.5	63.2
MBP	5.5	21.9	15.6	17.3	58.8
DCTD	53.2	88.8	135.2	57.7	42.7
RGS20	34.7	25.5	49.4	12	16.9
PMP22	745.2	638.2	673.3	394.4	555.4
CST7	106.9	79.6	185.6	130	105.7
INHA	47	90.6	23.3	79.5	26.8
FLOT1	354.4	406.3	202.1	330.5	302.5
ANXA10	9.8	45.1	17	90.8	4.2
TBC1D22A	10.4	38.9	21.7	40	78.5
PLA2G4A	68.4	30.4	38.6	70.3	25.7
LILRB2	110.4	55.2	160.6	88.1	21.2
ART3	48.4	70.4	74.2	109.2	36.8
HIPK3	4.2	2	39	4.2	25.8
ATP5H	546.8	370.5	455.3	347.1	444.4
LAMA5	113.5	67.8	127	41.6	88.6
DYRK3	58.5	140.8	96.4	172.9	180.6
LILRB4	49.3	75.3	67.6	116.5	66.9
ME2	61.8	186.3	231.1	218.7	39.3
ME2	16.2	17.8	78.6	46.4	19
MYOC	257.8	153.3	72.1	219.2	361.2
PCMT1	73.5	179.1	184.4	135.6	167.7
URI1	12.1	19.4	13.5	13.6	17.2
ERCC4	90.8	11.8	29.7	27.7	78
TRIM31	81.9	47.1	137.4	94.8	36.9
PAFAH1B2	49.8	45.5	58	136.9	81.9
NFATC1	12.9	7	19.1	57.2	17.1
NFATC1	83.1	158	168.9	130.2	140.8
CXCL11	35.9	3.8	10.7	33	17
GZMB	47.5	117.4	236.3	146.5	62.2
DNASE1	4.3	4.5	5.2	5.1	5.9
TLR5	49.9	59.5	112.7	106.2	150.1
TEF	3	8.6	47.2	5.1	76
C6	249.1	218.9	94.7	224.6	149.6
SEC14L5	70.8	79.7	87.8	73.9	146.4
PDLIM3	3.3	26.4	85.6	2.9	79.5
CREM	3.1	9.9	5.7	3.9	5.2
SF1	64.4	99.6	82.4	171.6	243.3
PTPRJ	22	4.5	14.7	53.1	14.9
NR5A2	53.2	78.2	62.6	137.8	62.7
GCFC2	49.5	13.2	39.7	7.5	3.2
TLR1	37.9	90.1	86.4	95.4	119
TRIM15	5.3	17.6	18	8.5	24.1
SRSF10	3.4	8.1	7	8.8	19.9
KCNJ13	11	58	21	18.2	47.3
TRA2B	2.3	8.5	39.3	15.3	2.5
CABP1	2.1	5.7	6.6	7.2	3.8
CORT	52.6	56.6	32.3	72.8	90.4
PNN	98.9	401.3	602.2	440.9	563.1
ITGAX	22.2	54.7	71	32.3	105.6
CACNB1	51.9	104.1	120.1	150.8	32.7
LOC101929368	4.8	58.3	145.3	77.6	110.4
LOC101929368	78.1	134.6	75.2	140.7	92.1
GABPA	13.7	34.7	9	38.2	20.4
HSPA1L	8.1	6.9	8.1	7.7	6.9
STX11	16.8	2.4	35.7	4.1	7
PHTF1	18.7	87.8	157.6	79.5	48.4
ATP8A1	12.2	16.1	25.7	28	7.1
MOBP	38.7	64.8	41.2	13.1	52.6
PLA2R1	24.3	2.9	12.8	6.6	7.8
PSG1	61.2	98.7	64.3	104.7	63.7
PSG1	1.9	6	24.9	31.2	4.3
ITPK1	76.4	98	81.2	108.6	134.5
PLP1	52.4	76.4	35.2	84.1	88.1
CRYAA	23.9	17.8	22	81.4	9.8
WWP2	84.2	120.5	98.5	190.6	124.4
BIN1	111.3	193.6	249.8	197.4	246.2
BIN1	4.4	28.1	5.1	9.8	13.5
CNOT4	28.4	31.8	30.2	4.8	10.5
CNOT4	34.1	114.6	124.9	84.4	18.3
B3GALT4	66.5	104.1	46.7	73.4	34.1
DDX11	3.9	10.2	13	78.5	54.8
BAG6	166.5	192	160.4	195.1	212.7
MPZL1	103.7	205.1	108.8	134	108.3
HSP90AA1	3086.7	1001.7	1934.9	738.7	1647
CMC4	121.6	43.1	58.6	189.9	122.3
EIF6	160	218.6	194.9	199.5	131
BMPR2	62.7	59.7	93.9	70.4	72.8
TFR2	8.6	7.7	42.2	63.9	24.2
RAD1	93	91.3	114.2	113.8	171.6
SP100	5.3	8.7	9.4	6.5	3.5
SP100	107.1	53.2	52.6	108.7	24.7
FZD2	32.7	42.2	63.6	8.3	7.8
CHRNA3	48.9	112.4	72.5	83.8	45.3
RTN1	158.6	56.1	67.3	36.8	50.9
MR1	59.6	75.7	94.5	175.4	67.9
MR1	62.7	31.1	68.5	108.8	91.2
LILRB3	19.6	37.6	19.1	68.3	40.6
NR4A1	62.6	146.5	128.6	313.1	105.4
DLGAP2	30.8	87.8	16.6	51.1	10.9
CSF2	50.2	54.8	68	54.8	36.1
CSF2	5.9	17.2	11.5	13.3	8.1
210230_at	26.1	13.8	70.4	21.7	90.9
SET	105	309	278.2	269	287
CDC42	85.6	152.6	123.1	137.4	54.5
IL1RAP	9.6	2.5	3.9	36.2	2.3
GRM4	113.4	112.2	97.9	97.8	49.2
PPFIA1	17.6	25	103.2	106.3	86
PPFIA1	43.1	80.4	23.2	85	67
ARTN	10.9	13.1	12.7	34.8	16.1
IRX5	35	19.4	7.1	47.4	31.3
CDKN2D	9.1	8.1	20.6	10.2	15.4
TP53TG1	73.4	31.4	53.1	31.5	32.6
ST20	100.5	113.4	109.1	184.2	89.8
B4GALT3	92.7	109.9	83.6	128.6	129.3
CAMP	11.4	18.6	25.2	30.6	16.7
ABCC8	5.4	5.9	5.4	7.4	9.2
ABCC8	7.2	15.5	18.9	10.3	6.5
SYN2	112.9	131.5	37.4	102.1	116.7
WNT7A	4.4	11.3	8.2	21.2	12.8
NCOA1	140.8	325	203.4	241.8	218.9
ADSL	193.9	121.4	132.6	95	147.2
RUFY3	38.1	33.7	56.4	62.3	88.2
MADD	98.2	38.8	66.4	149.2	122.7
HTATIP2	36.9	20.4	26.7	76.6	39.7
MS4A3	9	46.4	24.4	36.7	14.7
RAD51B	38.1	37.2	48.4	92.4	70.8
PIP5K1A	5.2	9.4	16.2	22.9	6.9
CUL4B	107.4	120.2	113.3	93.8	101.9
RGS13	72	29.9	5.5	52.4	22.3
DLX4	42.3	91.2	81.2	192.1	75.6
TNFAIP8	405.4	309.9	224.2	120.5	127.8
KCNK2	12.5	17.1	13.2	15.7	13
CRISP2	26.2	8.3	4.1	9.2	50.3
KCNF1	35.7	48.3	23.9	23.5	11.3
GPR35	91.5	127.9	140.6	95.5	91.4
POU5F1P3	9.3	53.3	10.9	11	16.2
TRIM33	96.8	339.3	210.8	247.3	207.4
NIPAL3	36.7	7.2	19.6	47.3	18.3
NFX1	22	2.3	3.9	10	36.2
AKAP17A	29.5	50.5	7.9	7.4	10.4
RGS6	5.5	11	5.1	8.4	6.3
NEUROD2	71.4	123.3	77.9	220	120.2
CYP2B7P	91	205.2	40.5	108.6	138.2
PCDH7	63.9	111.8	31.2	175.5	51.9
MAGEA8	51.4	21.8	80.2	94.2	14.6
ZFAND5	1226.5	533.4	1527.3	1792.8	614.9
NOL12	28.4	85.6	98.1	45.1	94.1
AP4S1	24.4	9.8	39.3	33.7	5.4
AP4S1	4.7	9.6	38.7	58.7	40.7
GPR18	91.9	121.1	10.1	72.5	44.1
MPZ	48.6	66.8	39.9	133.4	66.1
ZMYM2	4.2	19.9	20	72.5	50
ZMYM2	11.5	16.7	27.9	57.7	12.9
PAIP1	474	168.1	203.6	105.9	276.2
TAB2	109.9	215.4	154.9	237.2	142.2
WTAP	5.6	110.1	176.9	199.4	138.9
SLC4A7	18	1.5	30.9	59.2	84.7
FLT1	17.5	40.3	12.2	14.7	8.3
KLRG1	107.2	196.2	104.6	238.6	161.1
NAT8B	8	4.3	14	7.2	6.2
ZNF174	24.6	84.4	61.9	6.4	63.4
ZNF174	6.5	10.6	14.8	8.2	11.5
PCDH11Y	43.6	35.4	22.9	48.8	41.5
SEC23B	187.3	40.6	47.2	46.2	77.1
TAPBP	7.9	19.3	6.8	20.5	16.1
MAGEA10	5.4	6	4.9	6.9	20.3
PEX2	96.7	89.6	161.5	107.1	153.6
MSMB	26.6	28.2	34.8	9.2	4.8
FHL1	43	160.5	86.6	115.6	772.5
FHL1	63	157.3	110.2	149.6	1002.7
REM1	88.5	77.5	92.9	161.6	187.3
XDH	112.8	188.4	205.2	185.2	219.8
MAB21L2	107.1	48.4	111	69.8	36.8
MAB21L2	10.5	26.6	29.4	54.7	27.2
PDE6B	5	19.9	59.1	14.7	16.2
PDE4DIP	5	6.5	12.4	17.2	59.1
L3MBTL1	18.9	17.8	35.6	36.3	19.6
KLHL25	83.1	140.6	66.2	96.6	150.3
RECQL5	6.8	19.6	10.5	20.1	27.9
FGF5	5.1	8.9	11.9	7.6	6
FGF5	67.8	143.3	92.2	71.9	45.3
IFT20	208.4	166.4	190	94	79.2
LILRA4	17.2	28.9	11.4	17.4	32.6
TNFSF13	106	77.5	111.8	28.4	67.2
SYN2	33.8	32	41.8	36.1	23.5
FLT4	5.5	7.3	10.5	15.4	4.4
YWHAE	52.8	78.6	106.3	156.9	102.5
RBP3	18.7	20.2	8.7	16.7	9.5
MSX2	31.5	43.4	42.3	20.6	49.3
DDX52	63.5	72.9	64.1	112.3	67.4
GZMH	6	11.7	37.5	12.9	5.8
UTY	61.6	147.4	92.8	146.8	110.9
TEKT2	25.3	10.5	6.1	12.7	10.7
C8G	8.4	2.5	2.5	6.5	5.9
CD1A	111.1	179.5	90.6	160.6	152.3
AGXT	55.8	38.9	17.7	36.4	41.6
AGXT	3.2	4.2	3	4.3	2.2
GNMT	8.1	12.5	108.1	55.5	11.4
SGCD	17.5	46.3	61	68.2	37.9
SGCD	27.1	15.2	13.5	65.2	69.1
HECW1	126.9	81.7	88.6	163.5	189.3
ACHE	38.5	46.3	11.4	123.8	48
NR5A1	6.8	11.7	11.3	16.6	16.5
BIRC5	71.5	120.4	100	136.6	20.4
RASSF9	41.3	95.5	78.7	6	144
MZF1	34.8	17.4	38.1	11.8	28.5
ACLY	9.6	34.9	25.2	21.5	29.8
SNORD14D	174.7	504.8	818.4	413.4	440.6
KLK2	41.4	82.2	13.2	42.2	10.6
CSF2RA	17.1	9.3	50.2	66.4	10.4
MYT1	14.5	6.7	6.3	18.7	15.7
TPO	4.1	14.2	3.3	15.8	60.5
SLC22A6	2.3	6.7	13.4	11.8	12.7
OSBPL7	5.8	4.1	4.7	4.2	4.2
DNAH9	25.2	21.2	54.8	14.9	7.3
CLK4	163.7	174.3	108.5	158.2	319.8
BCL11A	52.8	113.8	59.5	17.8	47.6
sep-04	11	25	53	19.3	97.3
CAMK4	12.1	87.8	46.8	132.5	128.8
ING1	6.3	3.1	13.9	9.1	6.7
BRD8	38.2	8.2	22.2	75.5	21
SLC6A2	10.9	5.5	4.4	14.7	13.5
IFNG	70.8	95.6	73.8	93.1	94.1
PTHLH	60.2	5.4	12.8	18.6	9.5
MS4A1	184.9	449.9	57.1	302.8	161.6
SMOX	6.8	41.5	55.1	28.9	96.3
GATA2	91.7	97.4	92.2	96.1	23
MTSS1	24.9	7.6	34.7	12.1	28.5
MTSS1	63	48.1	71.4	88.5	38.8
ELF2	102	42.1	24.4	10.6	16.3
PML	9.5	2.5	7.6	46.2	3.6
SCN2B	4.8	8.9	3.7	8.5	7.8
SCN2B	14	43.9	75.4	139.8	157.9
LOC101928269	61.9	69.9	114.6	119.9	45.2
SLCO1B1	5	20.2	4.7	102.3	54.8
PTGES	87.6	79	90.3	133.5	114.5
PCDHGA8	11.1	6.5	9.5	12.1	11
SWAP70	15.1	88.7	79.1	35.4	15.7
LY9	13.6	34.9	20.8	109.1	88.2
RBBP4	213.2	284.6	220.3	166.2	238.3
TPD52L1	63.4	53.3	4.4	163	22.8
NPRL2	6.9	22.9	55.8	28.8	76.8
PTGER3	67.4	136.9	98.8	152.4	141.1
PTGER3	106.4	72.4	62.8	108.4	193.4
ELK1	44.7	106.5	116.7	82.9	73.8
ACSM3	28.2	47.2	33.1	51.8	48.1
SSNA1	23	46.9	56.5	43.8	46.1
TLK1	3.3	7.5	4.6	3.6	11.2
CACNA1G	27.2	3	6.2	18.1	29.1
CCKBR	56.6	101.9	23.6	29.9	116.7
SCTR	57.5	60	57.4	92.6	18
SCN1A	5	10.9	14.2	21.8	8.4
PRMT2	38.2	32.1	3	17.4	12.4
ERAP1	94	52.1	128.4	131.5	82.2
MTX1	69.2	46.7	50	39.5	16.4
HIST1H2BJ	16.5	16.1	23.1	5.1	15.9
PLCB2	17.2	17.1	17.5	7.9	7.1
TUBD1	57.8	22.6	99.5	76.3	79.8
CCL15-CCL14	2.8	24.9	9.2	11.6	17
NR6A1	7.1	9.4	13.4	19	12.3
NR6A1	4.6	89.5	8.2	38.1	99.1
LGR5	10.8	18.4	13.1	81.7	14.5
SSX4B	83.8	81	5.6	56.5	17.5
MYL4	119.1	186.9	173	182.3	200.7
SMG1P5	280.4	56.6	59.2	40.2	44.3
DEFB1	39.2	4.4	34.1	4.4	81.6
FUT6	2	5.3	4.4	4	3.2
FUT6	110.3	163.6	161.9	170.9	212.4
GRIN2C	11.3	20.9	6.4	10.3	8.7
P2RX1	48.8	48.9	41.8	18.4	6.7
KCNJ1	7.5	9.3	10.1	12.9	15.9
KCNJ1	31	25.2	3.4	5.3	40.6
CAMK2B	71.3	8.5	18.2	27.8	55
TNFRSF10B	17.9	13.7	31.1	32	5.9
WTH3DI	283.4	197.1	268.3	117.1	304.7
PPM1A	30.9	23.5	26.4	5.7	5.2
CPNE6	5	7.8	10.7	13.4	7.4
AFDN-AS1	28.4	9.5	3.2	85.8	9.3
MSH5-SAPCD1	7.6	11.6	4	10.5	5
GRIN2B	18.8	12.7	12.8	10	13.4
GRIN2B	96.5	65.1	99.4	166.4	162.2
SERPINB4	58.4	53.9	12.6	59.6	19.4
FLRT1	19	118	55.2	150.8	111.7
ODF2	3.4	3.3	5.4	9	5.4
CHEK2	72.4	40.9	19.8	117.7	20
PI4KB	30.4	64.7	74.9	26.5	127.8
IDH3B	137.1	33.4	35.6	23.9	31.9
BARX2	6.9	10.1	10	16.1	14.7
SLC24A1	77.3	78.3	20.3	132.3	40.3
SLC24A1	6.9	10.3	9.2	21.8	11.7
SLC11A1	258.3	322.5	314	331.5	361.5
SLC11A1	114.7	173.6	138.8	197.7	128.6
LOC101930583	18.7	67.8	96	67.3	25.3
LOC101930583	198.4	285.2	190.4	244	244.8
RORA	8.5	21.4	28.4	86.1	8.5
ANXA2	3056.5	3402.7	2765.7	2172	3467.5
HGS	82.9	63.6	43.5	19.7	59.6
RHD	4	6.4	8.4	63.1	35.7
RHD	8.4	25.3	12.2	27.9	10.4
ALPPL2	7.5	8.9	6.8	11.7	6
SCN3A	46.7	6.1	10.7	22.7	9.5
POFUT1	8.8	2.8	6.9	15.2	14.5
JTB	753.4	494.4	585.7	515.3	644.3
ARL17B	1.6	24.6	27.9	37.4	3.1
CCT8	53.9	99.4	99.5	143.3	72.5
MAGEA9B	6.2	32.8	12.4	19.8	13.7
TROVE2	96.2	115	127.9	121.6	132.9
ICOS	5.4	9	11.9	36.3	3
CDC14A	58.4	47	64	44.3	58
CDC14A	7	18.4	8.2	74.1	18.3
IL1RL1	17.8	21.7	28.3	33.9	29.2
OGFR	61.9	155.5	146.4	130.7	98.9
NPY6R	103.1	44.5	108.4	19.2	132.2
FABP6	6.7	4.7	5.5	7.3	11.1
GATA1	25.5	40.5	21.7	9.4	22.1
GLUD2	34.5	9	52.4	43.5	30.1
P2RX5	203	27.9	21.8	18.2	10.3
MAPK14	59.8	64.5	72.4	123.7	96.1
IGHV5-78	34.2	34.3	14.6	24.7	8.5
PKLR	10.3	20.2	11.7	24.7	19.6
CYP4F2	46.8	9	19.5	19.3	12.7
ATP5L	1115.9	949.2	831.8	932.9	746.1
KCNJ6	13.7	37.3	16.1	17.5	9.6
R3HCC1L	7.9	15.6	58.4	25.6	88.9
PCYT1B	19.8	55.3	19.4	24.1	54.1
HMGA1	11.4	9.1	4.7	11.5	19.5
TANK	1.6	8	30.4	3.7	57.6
PSMD4	22.7	75.6	69.3	25.1	41.1
PSMD4	117.3	165.9	136	47.1	38.6
ABLIM1	19.4	54.8	22.4	52.8	7.5
BLZF1	4.9	7.4	6.8	7.1	4.7
TRMT1	7.3	23.1	66.3	18.4	14.8
LINC00588	23.2	7	72.4	5.8	40.6
SNAPC3	58	34.5	35.3	31.1	94.9
SERBP1	630.3	279.3	384.6	143.1	215.3
MAGEA12	20	102.9	83.8	178.8	118.1
DLG5	65.2	63.4	23.5	128.4	61.5
NONO	25.4	63.2	108.3	23.1	134.4
KCNAB1	47.2	16.1	17.9	100.8	118.5
MT1G	37.9	68.9	70.3	126.1	63.4
ADGRA3	188.2	15.7	41.8	12.6	89
CDK11A	25.5	2.5	2.8	44.4	80.6
POU3F1	6.9	12.3	3.7	9.7	3.3
PRLR	36.8	59.4	80.2	15.9	12
MAPK8	10.2	11.8	12.2	9.8	79.3
RORA	36	7.6	35.3	58.7	48.4
MYO6	3.3	15.9	3.9	17.6	18.9
CLEC4M	3.4	11.3	17.4	50.6	24
MAP2K5	7.2	12.8	14.9	8.9	7.9
LOC254896	8.2	18.8	8.2	109.7	15.3
LOC254896	10.4	14.1	53.6	25.6	42.5
ANKMY1	23.8	15.8	63.3	35.9	24.1
DNTT	2.7	14.4	6.3	6.8	7.5
AF119888	3.7	10.8	41.3	64	75
MFAP3L	5.7	50.2	44.3	43.8	5
MFAP3L	33.7	15.3	22.3	38.9	12.7
FN1	589	4462.1	6073	438.6	490.3
NAG18	20.5	15.4	12.7	6.3	44.8
SSX2B	16.4	17.4	66.3	33.7	56.8
CLTC	11.5	72.4	7.9	59	19.7
PQBP1	100.7	138.7	99.4	136.4	250.2
210500_at	32.2	66	80.8	58.7	44.7
EIF3K	544.1	546.6	366.3	378.6	340.8
PPIE	79.8	161.6	155.9	99.7	175.8
MAGEA11	17.8	13	21.5	45.7	7.9
KLF1	45.6	44.2	40.8	16.2	28.3
ADH7	48.1	36.2	76.5	85.3	30.8
FUT7	7	28.8	15.1	18.1	5.3
AVIL	6	11.6	10	10.3	7.3
KCNQ2	7.3	15.2	13.4	18.8	19.4
NRP1	6.7	5.1	17	19	33.5
INHBA	4.2	5.9	8.2	5.7	6.1
VEGFA	396.8	63.6	301.5	414.4	84.9
VEGFA	110	156.9	172.2	143	120.4
HLA-G	22.5	508.9	568.8	334	344.2
HNF1A	24.1	121.1	32.7	78.8	93.8
FAM120A	18.4	25.6	17.9	69.1	4.6
AKAP12	504.8	267.5	380.8	546.4	396.1
CDH8	84.2	97.1	103.1	83.2	75.3
NQO1	140.3	136.6	70.8	206.2	702.2
FETUB	6.9	5.3	3.4	6.8	6.3
FETUB	2	6.3	3.1	16.3	20.9
BMPR1B	62.5	17.9	33.4	36.2	12.2
AF078844	179.5	120.1	164.1	242.5	156.9
EFCAB11	39.3	56	12.3	72.1	78.5
TUBA3D	161.9	219.2	229.5	220.5	251.5
MR1	38.8	91.2	48	62.5	18.8
LOC100294033	69.8	108.6	66.4	76.4	121.3
NR2C1	72.5	39.7	28.6	33.4	37.1
NR2C1	26.8	36.9	22	142.5	101.1
C14orf2	1069.2	756.3	753.6	545.2	548.7
MSH4	64.1	18.2	54.7	79.7	14.9
B9D1	66	60.9	48.4	180.3	87.6
B9D1	6.3	13.6	6.1	12.3	18.7
