X	covid	covid2	control	control2						
AC016948.1	0	0	0	0						
MIR1276	0	0	0	0						
AC005034.1	0	0	0	0						
AC053527.1	0	0	1	3						
MIR1268A	0	0	0	0						
SNORA77	0	2	1	4						
MIR1233-1	0	0	0	0						
MIR1267	0	0	0	0						
MIR1225	0	0	0	0						
MIR1290	0	0	0	0						
MIR548N	0	0	0	0						
AC103590.1	0	0	0	0						
RNU6ATAC	1	0	1	0						
MIR1278	0	0	0	0						
MIR1275	0	0	0	0						
MIR548H3	0	0	0	0						
MIR302E	0	0	0	0						
SNORA11E	0	0	0	0						
MIR1298	0	0	0	0						
AC104701.1	0	0	0	0						
SNORA11	0	0	0	0						
SNORA3C	0	0	0	0						
RNU6ATAC25P	0	0	0	0						
MIR548I1	0	0	0	0						
MIR1203	0	0	0	0						
SNORD93	0	0	0	0						
MIR1197	0	0	0	0						
SNORA11G	0	0	0	0						
AC021590.1	0	0	0	0						
MIR1260A	0	0	0	0						
MIR548J	0	0	0	0						
MIR1289-1	0	0	0	0						
MIR1302-7	0	0	0	0						
MIR1205	0	0	0	0						
MIR548F2	0	0	0	0						
MIR1183	0	0	0	0						
MIR1252	0	0	0	0						
MIR1282	0	0	0	0						
MIR548H2	0	0	0	0						
SNORD23	0	0	3	0						
RNU6ATAC34P	0	0	0	0						
MIR1256	0	0	1	0						
OR6B1	0	0	0	0						
PPP3CB-AS1	110	98	120	179						
EBF2	0	1	0	0						
GAS8-AS1	2	5	7	4						
C6orf226	127	145	129	122						
PPP3R1	591	547	383	560						
PSG3	6	7	0	0						
FANCG	505	732	440	343						
OR2A5	0	1	3	7						
KRTAP10-9	0	0	0	0						
AP4M1	1272	1132	1155	1024						
OR4A5	0	0	0	0						
C2orf16	141	91	86	111						
DPP3P2	0	0	0	0						
C7orf65	0	0	0	0						
AC018880.1	0	0	0	0						
KRTAP1-5	4	3	3	0						
TAS2R41	0	0	0	0						
AC020907.2	0	0	2	0						
OR2A12	0	1	0	1						
KRTAP10-10	0	0	0	0						
KRTAP12-2	0	0	0	0						
PLXNA4	4	0	0	0						
MAGEA3	0	0	0	0						
CEBPD	6835	7119	15132	18090						
ZNF816-ZNF321P	15	23	0	64						
PSG7	0	0	0	1						
MRPS21P3	0	0	0	0						
KRTAP1-3	0	0	0	0						
OR3A2	0	0	0	1						
ARIH2OS	28	33	83	76						
ZBED8	244	290	365	405						
HMSD	61	57	69	84						
OR1C1	0	0	0	0						
NPTXR	41	29	50	134						
FAM218BP	0	0	0	0						
POM121L12	0	0	0	0						
FAM200A	392	421	399	373						
OR2F2	0	0	0	0						
PPP2R2A	2926	3131	2390	2251						
C19orf73	23	52	19	22						
ZNF880	219	266	392	497						
TRIM16	13153	12753	4246	2945						
DENND10P1	88	91	0	59						
OR6X1	0	0	0	0						
HEPN1	0	0	0	3						
OR2A25	0	0	0	0						
TAS2R40	0	0	0	0						
OR2A14	0	0	0	0						
TIGD1	119	190	685	727						
FXYD7	0	0	5	0						
XKR9	288	270	105	174						
LINC01465	22	39	23	22						
C1orf229	26	15	33	34						
OR4C12	0	0	0	0						
SLC12A8	642	850	393	448						
KIR2DS4	0	0	0	0						
TMEM14EP	0	6	4	7						
APOL6	4628	5525	2209	2352						
FADS3	2662	2556	1188	1394						
OR2A1	0	0	18	4						
TTC4P1	0	0	0	0						
OR4E2	0	0	0	0						
CCNL2	7081	8215	17387	19158						
UBA52	4799	4826	2686	2982						
MYBPHL	140	157	68	78						
PPT2	160	184	491	236						
OR2A2	0	0	1	0						
EXOC3-AS1	172	157	122	140						
ZNF630	119	141	133	196						
TIAF1	41	29	130	148						
OR52B4	0	0	0	0						
AC092675.1	0	1	4	0						
AC106876.1	1	0	0	0						
LINC02860	0	0	1	0						
LINC01118	0	2	2	6						
AC064874.1	0	0	3	1						
BTBD19	65	44	170	152						
FAM185A	354	425	301	318						
AC005481.1	0	0	4	0						
RAB6C	3	0	2	0						
AC011997.1	3	3	2	0						
FAM243A	0	0	0	4						
URAHP	47	34	263	243						
HDAC4-AS1	5	11	57	45						
AC112721.1	0	0	0	0						
AC004945.1	0	0	0	3						
PSMB11	0	0	2	0						
LINC01793	0	0	0	0						
AC023469.1	1	0	0	0						
AC112721.2	2	2	0	0						
LINC01124	33	32	40	31						
KIAA2012-AS1	0	0	0	4						
POTEM	0	0	0	0						
IGLC6	0	0	0	0						
POTEJ	38	35	4	9						
CYTOR	636	701	185	267						
AP001341.1	0	0	0	0						
AC079305.2	0	0	2	0						
AL031587.1	0	0	0	0						
DCDC2B	20	9	71	69						
C10orf55	73	69	91	102						
RNU6-1165P	0	0	0	0						
RNA5SP177	0	0	0	0						
RNU4-62P	0	0	0	0						
RNU4-86P	0	0	0	1						
RN7SKP154	0	0	0	0						
RN7SKP285	0	0	0	2						
MIR1915	0	0	0	0						
AL138762.1	0	0	0	0						
RNU2-3P	0	0	0	0						
RN7SKP110	0	0	0	0						
RNU6-721P	0	0	0	0						
RNU6-908P	0	0	0	0						
RNU2-65P	0	0	0	3						
AL132709.5	0	0	0	0						
RN7SKP32	0	0	0	0						
RN7SKP232	0	0	0	0						
RN7SKP117	0	0	0	0						
RNA5SP317	0	0	1	0						
RN7SKP148	0	0	0	0						
RN7SKP16	0	3	6	7						
RNU6-985P	0	0	0	0						
RNA5SP487	0	0	0	0						
RNU6-648P	0	0	0	0						
RNA5SP390	0	0	0	0						
RNU2-9P	0	0	0	0						
RNA5SP36	0	0	0	0						
RNU6-380P	0	0	0	0						
AL160403.1	0	0	0	0						
RNU4-37P	0	0	0	0						
RNY4P30	0	0	0	0						
RNA5SP239	0	0	0	0						
RN7SKP218	0	0	0	0						
AC007540.1	0	0	0	0						
RN7SKP151	0	0	1	0						
RN7SKP266	0	1	0	1						
RNU6-257P	0	0	0	0						
RN7SKP146	0	0	0	0						
RNU4-30P	0	0	0	0						
RNA5SP181	0	0	0	0						
RN7SKP26	0	0	0	0						
RNA5SP156	0	0	0	0						
AL132709.6	0	0	0	0						
RNU4-26P	0	0	0	0						
RNA5SP266	0	0	0	0						
AC024132.2	0	0	0	0						
RNA5SP407	0	0	0	0						
RNA5SP129	0	0	0	0						
RNA5SP56	0	0	0	0						
RN7SKP65	0	0	0	0						
RNU6-588P	0	0	0	0						
RN7SKP129	0	0	0	0						
RNU2-17P	0	0	0	0						
AC097720.1	0	0	0	0						
RNU6-447P	0	0	0	0						
RNA5SP158	0	0	0	0						
RNU2-54P	0	0	0	0						
RNA5SP89	0	0	0	0						
RNA5SP163	0	0	0	0						
RNU2-43P	0	0	0	0						
RN7SKP156	0	0	0	0						
RNA5SP431	0	0	0	0						
MIR1471	0	0	0	0						
RNA5SP201	0	0	0	0						
RNU6-262P	0	0	0	0						
RNA5SP95	0	0	0	0						
RNU6-101P	0	0	0	0						
RN7SKP199	0	0	0	0						
RN7SKP114	0	1	1	0						
RNU6-757P	0	0	3	0						
RNU6-892P	0	0	0	0						
RNA5SP425	0	0	0	1						
RNU2-33P	0	0	1	0						
RN7SKP111	0	0	0	0						
RNU6-584P	0	0	0	0						
RNA5SP193	0	0	0	0						
RNU6-1043P	0	0	0	0						
RNU2-36P	0	0	0	0						
RNU6-1156P	0	0	0	0						
RNU2-21P	0	0	0	0						
RNA5SP371	0	0	0	1						
RNU6-935P	0	0	0	0						
AL590622.1	0	0	0	0						
RNA5SP198	0	0	0	0						
RNA5SP178	0	0	0	0						
RN7SKP267	0	0	0	0						
RNU6-1118P	0	0	0	0						
RNA5SP118	0	0	0	0						
RNU6-1050P	0	0	0	0						
MIR1912	0	0	0	0						
RNU6-855P	0	0	0	0						
RNU2-2P	0	3	3	0						
RNU6-1076P	0	0	0	0						
AC069257.1	0	0	0	0						
RN7SKP225	0	0	1	0						
RNU6-174P	0	0	0	0						
RN7SKP139	0	0	0	0						
RNU6-613P	0	0	0	1						
SNORD19C	0	0	0	0						
RNA5SP237	0	0	0	0						
RNY1P15	0	1	0	1						
RN7SKP221	2	0	0	0						
RNU2-29P	0	0	0	0						
RNU6-710P	0	0	0	0						
RNU2-20P	0	0	0	0						
RNU6-355P	0	0	0	0						
RNU6-1186P	0	0	0	0						
RNU4-34P	0	0	0	0						
SNORD12B	0	0	0	0						
SNORA36B	0	0	0	0						
RN7SKP202	0	0	0	0						
RN7SKP127	0	0	0	0						
RN7SKP152	0	0	0	0						
RNA5SP44	0	0	0	0						
RNA5SP203	0	1	0	5						
RN7SKP158	0	0	1	0						
RN7SKP86	0	0	0	0						
RNU2-28P	0	0	5	4						
AC016679.1	0	0	0	0						
AC015563.1	0	0	0	0						
RN7SKP229	0	0	0	0						
RNU6-554P	0	0	0	0						
RNU6-791P	0	0	0	0						
RN7SKP281	0	0	0	3						
RNU4-65P	0	0	0	0						
RNA5SP80	0	0	0	0						
AL353769.1	0	0	0	0						
RN7SKP125	0	0	0	0						
RNU2-59P	0	0	0	0						
RNA5SP274	0	0	0	0						
RNA5SP113	0	0	0	0						
RNA5SP511	0	0	0	0						
AL157935.1	0	0	0	1						
RNU2-50P	0	0	0	0						
RNA5SP338	0	0	0	0						
RNA5SP231	0	0	0	0						
RNU6-955P	0	0	0	0						
AL391827.1	0	0	0	0						
RNU6-141P	0	0	0	0						
AC073520.1	0	0	0	0						
RN7SKP278	0	0	0	0						
RNU6-1077P	0	0	0	0						
RNU6-994P	0	0	0	0						
RNU2-26P	0	0	0	0						
RN7SKP56	1	2	6	1						
RN7SKP150	0	1	3	6						
RNU6-1140P	0	0	0	0						
RN7SKP143	0	0	0	0						
RN7SKP59	0	0	0	0						
RNA5SP296	0	0	0	0						
RNU6-121P	0	0	0	0						
RNA5SP293	0	0	0	0						
RN7SKP271	0	0	0	8						
RNU2-5P	0	0	0	3						
AC079449.1	0	0	0	0						
RNA5SP261	0	0	0	0						
RN7SKP7	0	0	0	0						
RNU2-23P	0	0	0	0						
RNU6-77P	0	0	0	0						
RNU6-285P	0	0	0	0						
SNORA79B	0	0	1	0						
RNU6-712P	0	0	0	0						
RN7SKP200	0	0	0	0						
RN7SKP177	0	0	0	0						
RNA5SP475	0	0	0	0						
RNU4-25P	0	0	0	0						
AL121929.1	0	0	0	0						
AC092919.1	0	0	0	0						
AC007405.1	0	0	0	1						
AL357552.1	0	0	0	0						
RN7SKP223	0	0	0	0						
RN7SKP240	0	0	3	0						
RNA5SP451	0	0	0	0						
RNU6-519P	0	0	0	0						
RN7SKP109	0	0	0	0						
AP004609.2	0	0	0	0						
MIR1468	0	0	0	0						
RNU6-705P	0	0	0	0						
RNU2-39P	0	0	0	0						
RN7SKP220	0	0	0	0						
RNU6-735P	0	0	0	0						
RNA5SP251	0	0	0	0						
RNA5SP60	0	0	0	0						
RNU6-1064P	0	0	0	0						
RNU4-43P	0	0	0	0						
RNU6-1025P	0	0	0	0						
RN7SKP61	0	0	0	0						
RNA5SP345	0	0	0	0						
AC089985.1	0	0	0	0						
RNU2-47P	0	0	0	0						
RNU2-66P	0	0	0	0						
RN7SKP222	0	0	0	0						
RNA5SP494	0	1	0	0						
AL355598.1	0	0	4	0						
RN7SKP159	0	0	0	0						
RNU6-887P	0	0	0	0						
RN7SKP235	0	0	0	0						
RNU2-49P	0	0	0	0						
AC063943.1	0	0	0	0						
AC007956.1	0	0	0	0						
RNU6-628P	1	0	1	0						
RNA5SP504	0	0	0	0						
RNU4-69P	0	0	0	0						
RNU6-402P	0	0	0	0						
RNU2-52P	0	0	2	0						
AC096733.1	0	0	0	0						
AC008635.1	0	1	0	0						
RN7SKP27	0	0	0	0						
RN7SKP254	0	0	0	0						
RNU6-1100P	0	0	0	0						
RNU2-15P	0	0	0	0						
RNU2-48P	0	0	0	0						
RNU2-37P	0	0	0	0						
RNU2-42P	0	0	0	0						
RN7SKP131	0	0	0	0						
RNU6-1203P	0	0	0	0						
RN7SKP54	0	0	0	0						
RNU2-51P	0	0	0	0						
RNU2-16P	0	0	0	0						
AL137009.1	0	0	1	0						
RNU2-70P	0	1	0	0						
RNU6-248P	0	0	0	0						
AL353711.1	0	0	0	0						
RNU2-8P	0	0	0	0						
RNU4-55P	0	0	0	0						
RN7SKP123	0	0	0	0						
AC022021.1	0	0	0	0						
RNU6-394P	0	0	0	0						
RNA5SP146	0	0	0	0						
RN7SKP213	0	0	0	0						
RNU6-1267P	0	0	0	0						
RNA5SP38	0	0	0	0						
RN7SKP119	0	0	0	0						
RNU4-72P	0	0	0	0						
RNU6-733P	0	0	0	1						
RN7SKP120	0	0	0	0						
AL080243.3	0	0	0	0						
AC116348.2	0	0	0	0						
RN7SKP182	0	0	0	0						
RN7SKP39	0	0	0	0						
RN7SKP89	1	0	0	0						
RN7SKP51	0	4	2	0						
RN7SKP38	0	1	1	0						
MIR1911	0	0	0	0						
RN7SKP188	0	0	0	0						
RNU2-63P	0	2	1	3						
RNU2-7P	0	0	1	1						
RNU4-64P	0	0	0	0						
RNY4P29	0	0	0	0						
RNU4-6P	0	0	0	0						
RNA5SP328	0	0	0	0						
RNA5SP229	0	0	0	0						
RNU6-1190P	0	0	0	0						
RN7SKP166	0	0	0	0						
RNA5SP25	0	0	0	1						
RNU4-46P	0	0	0	0						
RN7SKP206	0	0	0	0						
RNU4-53P	0	0	0	0						
RNU6-684P	0	0	0	0						
RN7SKP106	2	0	1	0						
RNU2-40P	0	0	0	0						
AC007533.1	0	0	0	0						
RN7SKP121	0	0	0	0						
RNU6-233P	0	0	0	0						
RNA5SP144	0	0	0	0						
RN7SKP212	0	0	0	0						
RN7SKP91	0	0	0	0						
RNU2-38P	0	0	0	0						
RNU4-14P	0	1	0	0						
RNU6-67P	0	0	0	0						
RNU6-860P	0	0	0	0						
RNU4-83P	0	0	0	0						
RNU6-383P	0	0	0	0						
RNU2-62P	1	0	0	1						
RNA5SP225	0	0	0	0						
RNU4-47P	0	0	0	0						
RNU2-68P	0	1	1	2						
RNU4-27P	0	0	0	0						
RN7SKP286	0	0	0	0						
MIR1537	0	0	0	0						
RNA5SP120	0	0	0	0						
RNA5SP100	0	0	0	0						
RNA5SP136	0	0	0	0						
RN7SKP168	0	0	0	0						
RNU6-321P	0	0	0	0						
RN7SKP42	0	0	0	0						
RNA5SP21	3	2	3	0						
AC022413.1	0	0	0	0						
RNA5SP59	0	0	0	0						
RNU6-920P	0	0	0	0						
RN7SKP136	0	0	0	0						
RNU6-1086P	0	0	0	0						
RNU6-565P	0	0	0	0						
RNU6-1328P	0	0	0	0						
RNU4-78P	0	2	3	1						
RN7SKP33	0	0	0	0						
RN7SKP261	0	0	0	0						
AC080112.1	0	0	0	0						
AC126467.1	0	0	0	0						
RN7SKP29	0	0	0	0						
RNU6-1068P	0	0	0	0						
RNU6-1133P	0	0	0	0						
RN7SKP97	1	3	6	4						
RNU6-193P	0	0	0	0						
RNU6-564P	0	1	4	4						
RNA5SP29	0	0	0	0						
RNA5SP104	0	0	0	0						
RNA5SP501	0	0	0	0						
RNU2-41P	0	0	0	0						
RNU6-1148P	0	0	0	0						
RN7SKP205	0	0	0	0						
RNU6-172P	0	3	0	0						
RN7SKP284	0	0	0	0						
SNORD63B	0	0	0	0						
RNU6-370P	0	0	0	0						
AC074257.1	0	0	0	0						
RN7SKP58	0	1	0	0						
RN7SKP262	0	0	0	0						
RNA5SP41	0	0	0	0						
RNA5SP265	3	0	0	0						
MIR1913	0	0	0	0						
RNU6-272P	0	0	0	0						
AC004522.2	0	0	0	0						
RN7SKP8	0	0	1	0						
RNA5SP222	0	0	0	0						
RNU6-651P	0	0	0	0						
RNU2-25P	0	0	1	1						
RN7SKP228	0	0	0	0						
RN7SKP94	0	0	0	0						
RN7SKP167	0	0	0	0						
RN7SKP216	0	0	0	0						
RNA5SP127	0	0	0	0						
RNU2-14P	0	0	0	0						
RNU5A-5P	0	0	0	0						
RN7SKP68	0	0	0	0						
RNU4-22P	0	0	0	0						
AL355500.1	0	0	0	0						
RN7SKP259	0	0	0	0						
RNU2-61P	0	0	0	0						
RNA5SP184	0	0	0	0						
AC106821.2	0	0	0	0						
RN7SKP137	0	0	1	1						
RN7SKP73	0	0	0	0						
RN7SKP264	0	0	0	0						
RNA5SP344	0	0	0	0						
RNU6-1135P	0	0	0	0						
RNA5SP306	0	0	0	0						
AC106033.1	0	0	0	3						
RNU6-55P	0	0	0	0						
RN7SKP247	0	0	0	0						
AL139404.1	0	0	0	0						
RNU6-284P	0	0	0	0						
RN7SKP268	0	0	0	0						
RN7SKP144	0	0	0	0						
RN7SKP161	0	0	0	0						
RNU6-130P	0	0	0	0						
RNA5SP369	0	0	0	0						
RNU6-847P	0	0	0	0						
RN7SKP169	0	0	0	0						
AC024580.1	0	0	0	0						
RNU6-1245P	0	0	0	0						
RNU6-325P	0	0	0	0						
RN7SKP126	0	0	0	0						
RNA5SP31	0	0	0	0						
RNU2-55P	0	0	0	0						
AC026894.2	0	0	0	0						
RNA5SP155	3	0	3	10						
RNU6-602P	0	0	0	0						
RMRPP5	0	0	0	0						
RNA5SP115	0	0	0	0						
RNU5E-9P	0	0	0	0						
RNU2-72P	0	0	0	0						
MIR1538	0	0	0	0						
RNA5SP247	0	0	0	0						
RN7SKP296	0	0	1	0						
RN7SKP102	0	0	0	0						
RN7SKP181	0	0	0	0						
RNU2-32P	0	0	0	0						
RN7SKP263	0	0	0	0						
RN7SKP140	0	0	0	0						
RNA5SP304	0	0	0	0						
RN7SKP207	0	0	0	0						
RNA5SP450	0	0	0	0						
RN7SKP252	0	0	0	0						
RN7SKP112	0	4	2	0						
RNU4-88P	0	0	0	0						
RNU2-18P	0	0	0	0						
RNY1P3	0	0	0	0						
RNA5SP280	0	0	0	0						
RN7SKP142	0	0	0	0						
RNA5SP209	0	0	0	0						
RN7SKP17	0	0	0	0						
RNU4-61P	0	0	0	0						
RNA5SP39	0	0	0	0						
RNU6-373P	0	0	0	0						
RNU6-1199P	0	0	0	0						
AL392105.1	0	0	0	0						
RNU6-177P	0	0	0	0						
RN7SKP100	0	0	0	0						
RNU6-293P	0	0	0	0						
RNU6-1001P	0	0	0	0						
RNU2-22P	0	0	2	1						
RN7SKP297	0	0	0	0						
RNA5SP221	0	0	0	0						
RNU6-1217P	0	0	0	0						
RNU4-74P	0	0	0	0						
RNU6-607P	0	0	0	0						
RNU6-938P	0	0	0	0						
AC020987.1	0	0	0	0						
RN7SKP192	0	0	0	0						
SNORD71	0	0	0	0						
RNU6-1054P	0	0	0	0						
RN7SKP270	0	0	0	0						
RNA5SP294	0	0	0	0						
RNU4-63P	0	0	0	0						
RNU2-64P	0	0	0	0						
AL590113.1	2	1	2	0						
RNU6-785P	0	0	0	0						
RNU6-575P	0	0	0	0						
RNA5SP508	0	0	0	0						
RN7SKP194	0	0	0	0						
RNA5SP492	0	0	0	0						
RNU6-387P	0	0	2	3						
RNU6-592P	0	0	0	0						
RN7SKP53	0	0	0	0						
AC055855.1	0	0	0	0						
RN7SKP172	0	0	0	0						
RNA5SP498	0	0	0	0						
PAR	0	0	0	0						
RNU6-57P	0	0	0	3						
RN7SKP85	0	0	0	0						
RN7SKP165	0	0	0	0						
RNU6-195P	0	0	1	2						
RNU6-954P	0	0	0	0						
RNA5SP107	0	0	0	0						
RNA5SP270	0	0	0	0						
AC078962.1	0	0	0	0						
RNY3P8	3	0	5	2						
RN7SKP108	0	0	0	0						
AC005520.2	0	0	0	0						
AL359260.1	0	0	0	0						
RN7SKP30	3	0	1	6						
RNU6-1304P	0	0	0	0						
RN7SKP101	0	0	0	0						
RNU6-722P	0	5	0	1						
RNU6-516P	0	0	0	1						
RN7SKP279	0	0	0	0						
RNA5SP111	0	0	0	0						
RN7SKP293	0	0	0	0						
RN7SKP273	0	0	0	2						
RNU2-71P	0	0	0	0						
RNU6-1052P	0	0	0	0						
RNU6-603P	0	0	0	0						
RNU2-6P	0	0	1	0						
RN7SKP3	0	0	0	0						
AL158817.1	0	0	0	0						
AC137630.1	19	0	29	42						
AL359081.1	0	0	0	0						
H2BP1	14	8	1	0						
KLF2P3	0	0	0	0						
IGLV9-49	0	0	0	0						
ZNF385D-AS2	0	0	0	0						
AL589763.1	1	0	16	5						
AL590666.1	0	0	0	1						
EHHADH-AS1	0	0	0	0						
AC096559.1	0	0	0	0						
FTH1P10	85	92	27	99						
CDY15P	0	0	0	0						
AL513124.1	0	0	0	0						
AC108066.1	0	0	0	0						
AC005104.1	2	3	4	11						
AC096638.1	0	0	0	0						
AC244098.1	0	0	0	0						
AL391987.3	0	0	3	0						
LINC02661	0	0	0	0						
LINC01778	19	18	4	0						
H2ACP1	0	0	0	0						
LINC02068	4	7	3	6						
SDCBP2P1	0	0	0	0						
AL445685.1	0	0	0	2						
AC006210.1	0	0	0	0						
CLDN10-AS1	90	108	69	77						
AL118511.1	11	5	3	5						
TRBV29OR9-2	0	1	0	0						
RBM22P7	0	0	0	0						
RPS10P7	16	33	106	97						
AC027124.1	0	0	0	0						
AP006748.1	0	3	0	0						
AC074121.1	0	0	0	0						
MEG9	5	0	18	18						
LINC00397	0	0	0	0						
XKRYP5	0	0	0	0						
USP9YP18	0	0	0	0						
RPL17P17	2	8	18	16						
AL009050.1	0	0	0	0						
RPS26P15	0	0	2	0						
TRIM49D1	0	0	0	0						
AC004554.1	3	0	0	0						
AC006022.1	0	0	0	0						
AL354854.1	0	0	0	0						
AC007274.1	0	0	0	0						
AC016716.1	10	0	2	2						
AC010997.1	0	0	0	0						
AL139156.1	0	1	2	0						
AC011243.1	0	0	0	0						
MTND6P21	0	0	0	0						
AC009988.1	0	0	0	0						
RPS29P9	0	0	0	0						
AC011625.1	0	0	0	0						
TMSB4XP3	0	0	0	0						
AC235097.1	0	0	0	0						
AL589642.1	1	0	0	0						
TH2LCRR	0	0	0	0						
USP17L2	0	0	5	0						
RPL6P21	0	0	0	0						
AL451065.1	0	0	0	0						
AL590632.1	0	0	4	5						
HMGN2P18	0	0	0	0						
AL355298.1	0	0	0	0						
HTATSF1P1	0	0	0	0						
LMO7DN-IT1	0	0	0	0						
TCAF1P1	209	163	78	233						
GAPDHP69	2	0	0	1						
AC004471.1	8	13	8	12						
AL353801.1	0	0	0	0						
LINC01825	0	1	0	0						
CALM1P1	0	0	0	0						
AL157371.1	0	0	0	0						
LINC02629	0	0	0	0						
AC099681.1	0	0	0	0						
VN1R42P	0	1	1	0						
AL441992.2	119	124	60	45						
LINC02238	0	0	0	0						
NUTM2A-AS1	840	961	757	874						
TRPC6P	0	0	0	0						
PAR	0	0	0	0						
LINC01615	0	2	0	0						
AC092198.1	0	0	2	0						
FRMPD4-AS1	0	0	0	0						
MAPK6P2	0	0	0	0						
NEFHP1	0	0	0	0						
CHCHD2P5	0	0	1	2						
AL391097.1	0	0	3	0						
AC239859.2	0	0	0	0						
EXOSC6	2393	2436	1797	1916						
H2BP4	0	0	0	1						
AL929302.2	0	0	0	0						
AC083862.1	1	0	0	0						
VPS52	3186	3496	2485	2532						
AL731537.1	0	0	0	0						
AL353807.1	1	1	3	0						
AL646090.1	0	0	0	0						
AC114402.1	0	1	3	7						
SLC20A1P1	0	0	0	0						
RPL23AP53	61	84	61	70						
AC135983.3	98	117	132	134						
CDRT15	0	3	3	4						
AL683807.1	0	0	0	0						
PAR_Y_AL683807.1	0	0	0	0						
ATP6V0E1P2	0	0	0	0						
AC004866.1	0	0	0	0						
AFF2-IT1	0	0	0	0						
AC010723.1	0	0	0	0						
CSNK1A1P1	2	0	0	0						
KIF28P	0	0	3	1						
AC093690.1	14	18	65	71						
AC092598.1	0	0	0	0						
RABGAP1L-IT1	9	8	23	8						
AL359094.1	5	6	17	9						
EEF1A1P8	0	0	2	9						
AC012506.1	0	0	0	0						
HLA-DQB1-AS1	39	35	7	12						
AC008164.1	0	0	0	0						
AL109947.1	0	0	0	0						
AC079602.2	0	0	0	0						
AC011431.1	0	0	0	0						
RPS15AP5	0	0	0	0						
AL024497.1	3	0	1	0						
TCEAL4P1	0	0	0	0						
AC005838.1	0	0	0	22						
LINC00630	175	139	196	238						
ZNF844	66	87	141	149						
ACSL6-AS1	0	0	0	0						
MTND5P28	4	0	1	1						
SNRPBP1	0	0	0	0						
TMSB4XP4	12	21	22	18						
CCR5AS	53	67	37	77						
SMPD4P1	1	0	0	0						
AC078851.1	0	0	0	0						
USP9YP23	0	0	0	0						
TRIM60P17	0	0	0	0						
AC073136.1	6	6	5	8						
AC005165.1	0	0	7	0						
AP001599.1	0	0	0	0						
CYP4F32P	0	0	0	0						
AC069540.1	0	0	0	0						
TNRC18P2	0	0	0	0						
RPL3P11	0	0	0	0						
USP17L15	0	1	0	0						
AL592045.1	0	0	0	0						
DHRSX-IT1	0	2	0	2						
PAR	0	2	0	2						
CKMT1A	575	615	424	282						
TINCR	133	135	524	172						
TPMTP4	0	0	0	0						
RBMX2P3	0	0	6	0						
AL355001.1	0	0	6	5						
LINC02665	0	0	0	0						
AL513365.1	2	1	4	1						
TVP23CP1	0	0	3	3						
LINC01312	0	0	0	0						
LINC01986	0	0	0	0						
AL139158.1	0	0	0	0						
CENPVL1	0	0	0	0						
FNDC3CP	0	0	1	2						
AL356806.1	0	2	0	0						
LYPLA1P1	0	0	0	0						
LINC02142	0	0	0	0						
AL138733.1	0	0	1	0						
AL513523.3	0	0	5	1						
EEF1A1P41	0	0	0	0						
EBLN1	0	0	0	0						
AC125634.1	0	0	0	1						
CRPP1	0	0	0	0						
AC007394.1	0	0	0	0						
AC107399.1	0	0	0	0						
DSCR4-IT1	0	0	0	0						
HBD	0	0	13	15						
SUPT20HL2	0	0	0	0						
AC241585.1	0	5	3	7						
ZNF735	0	1	0	0						
AL807761.1	0	0	0	0						
LINC00370	2	0	0	0						
MTCO1P17	0	0	0	0						
RBM48P1	0	0	0	0						
AK4P4	0	0	3	0						
GSTA6P	0	0	0	0						
AL133268.2	0	0	0	0						
AL033528.2	1	0	0	0						
CYCSP32	0	0	0	0						
LINC01044	0	0	0	0						
AC023449.1	0	0	0	0						
DEFA8P	0	0	0	0						
LINC01120	0	0	0	0						
AC012506.2	0	0	0	0						
AL121990.1	0	3	0	0						
UBE2Q2P5Y	0	0	0	0						
RBMY2EP	0	0	0	0						
RFPL4A	2	0	0	0						
RPL30P3	0	0	0	0						
TTTY17C	0	0	0	0						
AC008277.1	0	1	0	6						
BX284668.1	0	0	0	0						
AC002463.1	0	0	4	0						
LINC01946	0	0	0	0						
IGHV3-64	0	0	0	0						
AC105275.1	0	0	0	0						
UHRF2P1	1	0	2	0						
AL049812.1	0	0	0	0						
AC106786.1	0	3	5	3						
AL078459.1	22	41	21	31						
RAB9AP3	0	0	0	0						
HMGB3P10	0	2	0	0						
KRT8P51	6	3	0	0						
C1GALT1C1L	14	14	8	14						
AC245052.1	0	0	1	0						
SAMSN1-AS1	0	0	0	0						
NDUFB4P8	0	0	0	0						
AC000058.1	0	0	2	0						
EEF1A1P24	0	0	0	0						
AL357033.2	0	0	0	0						
RPL34P3	0	0	0	0						
AL162386.1	0	0	0	0						
AC093117.1	0	0	0	0						
RPL34P26	0	0	0	0						
OR2AD1P	0	0	0	0						
AC245054.1	0	0	0	0						
RPSAP65	0	0	0	0						
IFNWP18	0	0	0	0						
LINC00571	51	39	49	43						
RPS24P14	0	0	0	0						
AC068044.1	0	0	0	0						
DIP2A-IT1	0	0	0	1						
ADH5P3	0	0	0	0						
FO393418.1	2	4	9	9						
AF230666.1	0	5	9	12						
GOLGA6L11P	0	0	0	0						
RAET1E-AS1	0	0	0	0						
ZDHHC20P2	0	0	0	0						
AC027612.1	0	0	1	0						
LINC01422	2	0	24	9						
NSUN5P1	1195	1512	2296	2651						
SFR1P2	0	0	0	0						
TRIM64EP	2	0	2	3						
CRYGGP	0	0	0	0						
AC069213.1	1	1	1	2						
LINC02601	0	0	2	0						
LINC01208	1	0	0	0						
AL135785.1	0	0	0	0						
DNAJA1P1	0	0	0	0						
